Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.009993555228180557,1.0956112093049823e-06,0.0006444771819441071,0.04997228645488131,4.711302670177638e-06,0.0005542709023738396,0.059975408122435236,4.180619186009362e-06,0.00040986462607934914,3.224143009396134e-07,3.224143009396134e-07,0.003793109422818981
20,0.009987108868267593,2.191492394509185e-06,0.0012891131732406967,0.04994459258603842,9.419260373468853e-06,0.0011081482792316296,0.059950830187662264,8.358868097414742e-06,0.0008194968722955628,6.448286018792267e-07,6.448286018792267e-07,0.00758621884563796
30,0.009980664663816606,3.287007151176831e-06,0.0019335336183393121,0.0499168909916512,1.4128531419297125e-05,0.001662180166976132,0.05992624180443433,1.2538893246163096e-05,0.0012293032594277546,9.672429028188403e-07,9.672429028188403e-07,0.011379328268456943
40,0.009974222651653184,4.382149218958321e-06,0.0025777348346813648,0.049889181714573454,1.8839108522513696e-05,0.0022163657085310226,0.05990164294207322,1.6720699847551336e-05,0.0016392842987795427,1.2896572037584536e-06,1.2896572037584536e-06,0.015172437691275924
50,0.009967782803913222,5.476923334752077e-06,0.003221719608677692,0.04986146479575739,2.3550984721244602e-05,0.0027707040848523054,0.05987703369452571,2.090427193062754e-05,0.002049438424571327,1.612071504698067e-06,1.612071504698067e-06,0.018965547114094903
60,0.009961345111585264,6.5713310305049775e-06,0.0038654888414735157,0.04983374027826344,2.8264152695216008e-05,0.0033251944347312944,0.05985241412072234,2.5089599477201258e-05,0.0024597646546275745,1.9344858056376802e-06,1.9344858056376802e-06,0.022758656536913884
70,0.009954909579962597,7.665371406358192e-06,0.004509042003740112,0.04980600820587133,3.297860500187353e-05,0.0038798358825733563,0.059827784252286104,2.927667711136135e-05,0.0028702624618981713,2.2569001065772937e-06,2.2569001065772937e-06,0.026551765959732864
80,0.009948476214338512,8.759043562452896e-06,0.0051523785661487615,0.04977826862236081,3.7694334198662784e-05,0.004434627552783856,0.059803144120840014,3.346549945719667e-05,0.003280931319333006,2.5793144075169072e-06,2.5793144075169072e-06,0.030344875382551848
90,0.009942045020006292,9.85234659893026e-06,0.00579549799937074,0.049750521571511594,4.241133284302938e-05,0.004989568569768161,0.059778493758007076,3.765606113879607e-05,0.003691770699881968,2.9017287084565203e-06,2.9017287084565203e-06,0.03413798480537082
100,0.009935616002259225,1.094527961593146e-05,0.006438399774077328,0.049722767097103424,4.7129593492418956e-05,0.0055446580579316404,0.0597538331954103,4.184835678024842e-05,0.0041027800764949435,3.2241430093961343e-06,3.2241430093961343e-06,0.03793109422818981
110,0.0099291891663906,1.2037841713597667e-05,0.007081083360939803,0.04969500524291602,5.184910870427712e-05,0.0060998951416796595,0.059729162464672685,4.6042381005642554e-05,0.004513958922121818,3.5465573103357473e-06,3.5465573103357473e-06,0.04172420365100879
120,0.009922764517693704,1.313003199207006e-05,0.007723548230629446,0.04966723605272912,5.6569871036049474e-05,0.006655278945417584,0.059704481597417244,5.0238128439067354e-05,0.004925306709712486,3.868971611275361e-06,3.868971611275361e-06,0.045517313073827774
130,0.009916342061461823,1.4221849551489805e-05,0.008365793853817532,0.04963945957032247,6.129187304518166e-05,0.007210808593550781,0.05967979062526698,5.4435593704611654e-05,0.005336822912216829,4.191385912214974e-06,4.191385912214974e-06,0.04931042249664675
140,0.009909921802988246,1.531329349199808e-05,0.009007819701175339,0.049611675839475775,6.601510728911926e-05,0.007766483210484619,0.05965508957984491,5.863477142636432e-05,0.005748507002584736,4.5138002131545874e-06,4.5138002131545874e-06,0.05310353191946573
150,0.009903503747566256,1.6404362913736054e-05,0.00964962524337415,0.04958388490396878,7.073956632530794e-05,0.008322301920624461,0.05963037849277403,6.28356562284142e-05,0.006160358453766098,4.8362145140942005e-06,4.8362145140942005e-06,0.056896641342284705
160,0.009897087900489146,1.7495056916844906e-05,0.010291209951085237,0.049556086807581216,7.546524271119329e-05,0.00887826384837568,0.059605657395677344,6.703824273485017e-05,0.0065723767387108,5.1586288150338145e-06,5.1586288150338145e-06,0.060689750765103696
170,0.0098906742670502,1.8585374601465803e-05,0.010932573294979882,0.049528281594092824,8.019212900422091e-05,0.009434368118143634,0.05958092632017787,7.124252556976106e-05,0.006984561330368731,5.4810431159734276e-06,5.4810431159734276e-06,0.06448286018792267
180,0.009884262852542704,1.9675315067739924e-05,0.011573714745729366,0.049500469307283315,8.492021776183646e-05,0.009990613854333698,0.059556185297898606,7.544849935723575e-05,0.007396911701689778,5.803457416913041e-06,5.803457416913041e-06,0.06827596961074164
190,0.009877853662259949,2.0764877415808445e-05,0.012214633774004967,0.04947264999093244,8.964950154148553e-05,0.010547000181351237,0.059531434360462564,7.965615872136308e-05,0.007809427325623831,6.1258717178526546e-06,6.1258717178526546e-06,0.07206907903356063
200,0.009871446701495219,2.185406074581253e-05,0.012855329850477958,0.049444823688819924,9.437997290061372e-05,0.011103526223601614,0.059506673539492745,8.38654982862319e-05,0.008222107675120775,6.448286018792268e-06,6.448286018792268e-06,0.07586218845637961
210,0.009865041975541802,2.2942864157893353e-05,0.013495802445819617,0.04941699044472549,9.91116243966667e-05,0.011660191105490198,0.05948190286661216,8.807651267593109e-05,0.008634952223130498,6.770700319731882e-06,6.770700319731882e-06,0.0796552978791986
220,0.009858639489692986,2.4031286752192098e-05,0.014136051030701232,0.04938915030242889,0.00010384444858709003,0.012216993951422355,0.05945712237344382,9.228919651454948e-05,0.00904796044260289,7.093114620671495e-06,7.093114620671495e-06,0.08344840730201758
230,0.009852239249242058,2.5119327628849924e-05,0.014776075075794072,0.04936130330570983,0.00010857843802932938,0.012773933885803454,0.05943233209161072,9.650354442617594e-05,0.009461131806487838,7.415528921611108e-06,7.415528921611108e-06,0.08724151672483656
240,0.009845841259482305,2.6206985888008018e-05,0.01541587405176942,0.04933344949834806,0.0001133135852808303,0.013331010033038857,0.05940753205273588,0.00010071955103489933,0.009874465787735228,7.737943222550721e-06,7.737943222550721e-06,0.09103462614765553
250,0.009839445525707013,2.729426062980754e-05,0.016055447429298552,0.04930558892412331,0.0001180498828990385,0.013888221517533939,0.0593827222884423,0.0001049372109648085,0.010287961859294951,8.060357523490336e-06,8.060357523490336e-06,0.09482773557047454
260,0.009833052053209472,2.8381150954389683e-05,0.016694794679052754,0.0492777216268153,0.00012278732344139952,0.014445567463694058,0.05935790283035298,0.0001091565188399923,0.010701619494116892,8.38277182442995e-06,8.38277182442995e-06,0.09862084499329353
270,0.009826660847282965,2.9467655961895595e-05,0.01733391527170329,0.04924984765020377,0.000127525899465359,0.015003046995924583,0.05933307371009094,0.00011337746928453961,0.011115438165150942,8.705186125369563e-06,8.705186125369563e-06,0.1024139544161125
