Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.33410949099668474,0.065924594294019,0.050582051873877105
5,0.00999479575415895,5.204245841050038e-07,0.0005204245841050614,0.049994910955884916,5.089044115084761e-07,0.00010178088230172744,0.05999523458866184,4.765411338150313e-07,7.942352230261296e-05,7.79012073655215e-08,7.79012073655215e-08,0.00155802414731043,0.3358281583719034,0.06615666326535294,0.05386793085710415
10,0.009989592666525073,1.0407333474926102e-06,0.0010407333474926617,0.04998983865163508,1.016134836491842e-06,0.00020322696729846434,0.059990280627940325,9.719372059673e-07,0.00016198953432788876,1.5580241473104298e-07,1.5580241473104298e-07,0.0031160482946208596,0.33408453439396635,0.06557980885683738,0.0503156661411396
15,0.009984390736809156,1.5609263190844242e-06,0.0015609263190843325,0.04998477002656403,1.522997343597493e-06,0.00030459946871952415,0.059985330030936264,1.4669969063734184e-06,0.0002444994843955328,2.337036220965645e-07,2.337036220965645e-07,0.00467407244193129,0.33408608583876476,0.06529461134700905,0.053168067903259994
20,0.009979189975172423,2.0810024827577285e-06,0.0020810024827576656,0.04997970449922585,2.0295500774150682e-06,0.0004059100154830686,0.05998039196127506,1.960803872493151e-06,0.0003268006454155703,3.1160482946208597e-07,3.1160482946208597e-07,0.006232096589241719,0.3340722210705571,0.06536609788676355,0.05015028612398419
25,0.009973990391352392,2.6009608647608292e-06,0.002600960864760804,0.04997464171491487,2.535828508512789e-06,0.0005071657017026165,0.0599754718760497,2.4528123950296836e-06,0.00040880206583826517,3.895060368276075e-07,3.895060368276075e-07,0.007790120736552149,0.3341251687215938,0.0651191313123544,0.0530410162189385
30,0.00996879199508658,3.120800491342032e-06,0.0031208004913420018,0.04996958131892541,3.041868107458874e-06,0.0006083736214917979,0.059970575232353135,2.942476764686199e-06,0.0004904127941144365,4.6740724419312895e-07,4.6740724419312895e-07,0.009348144883862578,0.3341502159363282,0.06538082108285696,0.05016142423356858
35,0.009963594796112503,3.6405203887496423e-06,0.003640520388749735,0.049964522956551786,3.5477043448215445e-06,0.0007095408689643534,0.059965707487278336,3.429251272165883e-06,0.0005715418786943482,5.453084515586504e-07,5.453084515586504e-07,0.010906169031173007,0.334177172228903,0.06513436209161481,0.05305430188557585
40,0.00995839880416768,4.160119583231969e-06,0.004160119583231925,0.04995946627308831,4.05337269116902e-06,0.0008106745382338021,0.059960874097918275,3.912590208171919e-06,0.0006520983680287085,6.23209658924172e-07,6.23209658924172e-07,0.01246419317848344,0.3346861662567774,0.06534258773095412,0.05013007328573085
45,0.009953204028989627,4.679597101037312e-06,0.0046795971010373805,0.0499544109138293,4.558908617069519e-06,0.0009117817234139958,0.05995608052136592,4.391947863407491e-06,0.0007319913105680032,7.011108662896935e-07,7.011108662896935e-07,0.01402221732579387,0.33492090580471046,0.06467718744157706,0.052746471252946785
