Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,10nm_sieving_coefficient,180nm_retentate,180nm_permeate,180nm_cumulative_yield,180nm_sieving_coefficient,300nm_retentate,300nm_permeate,300nm_cumulative_yield,300nm_sieving_coefficient
0.0,0.01,0.0,0.0,0.772751858831279,0.05,0.0,0.0,0.0036361427485780817,0.06,0.0,0.0,4.169499321681836e-05
10.00050002500125,0.009992357626806699,7.642373193302285e-07,0.0007642373193302285,0.772796796655802,0.0499997993463615,2.006536385063571e-08,4.013072770127142e-06,0.0036361418125390827,0.05999999720695578,2.7930442234399437e-10,4.655073705733239e-08,4.169497398569414e-05
20.0010000500025,0.009984720556921263,1.5279443078738116e-06,0.0015279443078738113,0.7728415790006863,0.04999960856327397,3.914367260384444e-08,7.828734520768887e-06,0.0036361419184555784,0.05999999407854401,5.921455985838199e-10,9.869093309730331e-08,4.1694975241886126e-05
30.001500075003747,0.00997708878094928,2.2911219050722614e-06,0.0022911219050722608,0.7728863472340065,0.04999941543123702,5.845687629879149e-08,1.1691375259758297e-05,0.003636142021532438,0.059999991029835276,8.97016472160286e-10,1.4950274536004767e-07,4.169497646607386e-05
40.002000100005,0.009969462290059473,3.0537709940527718e-06,0.0030537709940527714,0.772931110490635,0.04999921328037075,7.867196292538396e-08,1.5734392585076788e-05,0.003636142113698492,0.05999998828738361,1.171261639129659e-09,1.952102731882765e-07,4.169497756728618e-05
50.00250012500625,0.009961841081299574,3.815891870042739e-06,0.003815891870042739,0.7729758684553241,0.04999900233543913,9.97664560876751e-08,1.9953291217535018e-05,0.003636142195225685,0.05999998584355575,1.4156444250478039e-09,2.359407375079673e-07,4.1694978548588145e-05
60.003000150007495,0.009954225157596305,4.577484240369765e-06,0.004577484240369764,0.7730206113843834,0.049998789715849964,1.2102841500386447e-07,2.420568300077289e-05,0.003636142274729094,0.05999998345653115,1.654346884970188e-09,2.757244808283647e-07,4.1694979507081135e-05
70.00350017500875,0.009946614526682917,5.3385473317083115e-06,0.005338547331708311,0.773065321416585,0.04999858849367042,1.4115063295853484e-07,2.8230126591706965e-05,0.003636142368026754,0.059999980682306275,1.931769372927068e-09,3.219615621545113e-07,4.169498062105163e-05
80.00400020001,0.009939009177579939,6.099082242006247e-06,0.006099082242006246,0.7731100040719279,0.04999839467054737,1.605329452639854e-07,3.210658905279708e-05,0.00363614247027531,0.059999977656834506,2.2343165492467817e-09,3.7238609154113025e-07,4.1694981835908506e-05
90.00450022501124,0.00993140910280117,6.859089719882973e-06,0.006859089719882972,0.7731546669102629,0.049998202726443515,1.7972735564931663e-07,3.594547112986332e-05,0.003636142574794831,0.05999997456761856,2.5432381441037013e-09,4.238730240172835e-07,4.169498307636136e-05
100.0050002500125,0.009923814301083207,7.618569891679399e-06,0.007618569891679397,0.7731993107512953,0.04999801205994392,1.9879400560906314e-07,3.975880112181263e-05,0.003636142680859528,0.0599999714350305,2.8564969503598116e-09,4.7608282505996855e-07,4.169498433422992e-05
110.00550027501374,0.009916224771033674,8.377522896632765e-06,0.008377522896632765,0.7732439363458032,0.04999782211977584,2.177880224166552e-07,4.3557604483331035e-05,0.003636142787804125,0.05999996827774375,3.1722256246928767e-09,5.287042707821461e-07,4.1694985602016015e-05
120.00600030001499,0.009908640511131234,9.135948886876657e-06,0.009135948886876655,0.7732885443757979,0.04999763240480876,2.3675951912441946e-07,4.735190382488389e-05,0.0036361428950238647,0.059999965112733124,3.4887266875964445e-09,5.814544479327407e-07,4.1694986872903524e-05
130.00650032501625,0.009901061519725592,9.893848027440999e-06,0.009893848027440998,0.7733331354546839,0.049997442464054374,2.5575359456357825e-07,5.115071891271565e-05,0.003636143001974507,0.059999961955274767,3.8044725233798445e-09,6.340787538966408e-07,4.1694988140758424e-05
140.0070003500175,0.00989348779503748,1.0651220496252049e-05,0.010651220496252048,0.7733777101274197,0.04999725189666657,2.7481033334424997e-07,5.496206666884999e-05,0.003636143108172332,0.0599999588189462,4.118105380168186e-09,6.863508966946976e-07,4.169498940012874e-05
150.00750037501874,0.009885919335158677,1.1408066484132401e-05,0.011408066484132399,0.7734222688706772,0.04999706035194145,2.9396480585544905e-07,5.8792961171089804e-05,0.003636143213194143,0.0599999557156263,4.428437369902361e-09,7.380728949837268e-07,4.169499064624462e-05
160.00800040002,0.009878356138051991,1.2164386194800996e-05,0.012164386194800994,0.7734668120930007,0.049996867529317354,3.1324706826508593e-07,6.264941365301718e-05,0.0036361433166772522,0.05999995265549532,4.734450468339045e-09,7.890750780565076e-07,4.169499187501825e-05
170.00850042502125,0.00987079820155127,1.2920179844873106e-05,0.012920179844873104,0.7735113401349658,0.049996673178374806,3.3268216251996684e-07,6.653643250399337e-05,0.0036361434183194976,0.05999994964703485,5.0352965150506905e-09,8.392160858417817e-07,4.169499308304388e-05
180.00900045002248,0.009863245523361397,1.3675447663860341e-05,0.013675447663860339,0.7735558532693385,0.04999647709883655,3.5229011634579414e-07,7.045802326915883e-05,0.003636143517879235,0.059999946697027864,5.330297213425533e-09,8.883828689042555e-07,4.169499426759791e-05
