J_actual,Time_to_95%
2.7777777777777776e-07,176028.80144007198
7.227152865131723e-07,71753.58767938397
1.167652795248567e-06,46942.347117355865
1.6125903039839614e-06,35781.78908945447
2.057527812719356e-06,29721.486074303713
2.502465321454751e-06,25861.293064653233
2.9474028301901456e-06,23341.167058352916
3.3923403389255403e-06,21791.089554477723
3.837277847660935e-06,20771.038551927595
4.28221535639633e-06,20241.01205060253
