Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2_{V_2},Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.00999648662715329,5.972733839406015e-07,0.000351337284670942,0.04998673297182576,2.255394789621027e-06,0.00026534056348482665,0.059989115651880184,1.8503391803696877e-06,0.00018140580199702818,3.5062164631888265e-08,3.5062164631888265e-08,0.0004124960544928031
20,0.009992974423813894,1.1943479516380853e-06,0.0007025576186106383,0.0499734831735764,4.507860492011989e-06,0.0005303365284719985,0.05997816971696702,3.7111481156073765e-06,0.0003638380505497428,7.012432926377652e-08,7.012432926377652e-08,0.000824992108985606
30,0.009989463392489004,1.7912232768694468e-06,0.0010536607510996743,0.04996022903839379,6.761063473056111e-06,0.0007954192321242482,0.05996726078390434,5.565666736262733e-06,0.0005456536015943856,1.0518649389566479e-07,1.0518649389566479e-07,0.001237488163478409
40,0.009985953535553285,2.387898955941488e-06,0.0014046464446714633,0.04994696528277041,9.015901929030379e-06,0.0010606943445918091,0.05995641312982724,7.40976792937029e-06,0.0007264478362127736,1.402486585275531e-07,1.402486585275531e-07,0.0016499842179712126
50,0.009982444855352074,2.9843745901473445e-06,0.0017555144647925553,0.049933686663516524,1.1273267202190175e-05,0.0013262667296694323,0.05994565084446329,9.23935644124217e-06,0.0009058192589453107,1.7531082315944132e-07,1.7531082315944132e-07,0.0020624802724640155
60,0.009978937344434616,3.5806514461149294e-06,0.0021062655565381935,0.04992040172677435,1.3531706448360086e-05,0.001591965464512951,0.05993493397643946,1.1061224005292334e-05,0.0010844337260090522,2.1037298779132958e-07,2.1037298779132958e-07,0.002474976326956818
70,0.009975430995463353,4.176730771230015e-06,0.002456900453664715,0.04990712001648345,1.5789597197812944e-05,0.0018575996703309346,0.05992421813323052,1.2882917350812354e-05,0.0012630311128247404,2.4543515242321784e-07,2.4543515242321784e-07,0.0028874723814496213
80,0.009971925808133423,4.772612617318055e-06,0.002807419186657679,0.04989384166540422,1.8046916881282008e-05,0.00212316669191553,0.059913502711569325,1.470453903321561e-05,0.0014416214738446676,2.8049731705510607e-07,2.8049731705510607e-07,0.003299968435942424
90,0.009968421782139972,5.368297036204502e-06,0.0031578217860026483,0.04988056680629705,2.0303642929500537e-05,0.0023886638740588865,0.059902787108188735,1.6526191607915478e-05,0.0016202148635211253,3.155594816869943e-07,3.155594816869943e-07,0.0037124644904352267
100,0.009964918917178147,5.963784079714811e-06,0.0035081082821851826,0.04986729557192234,2.2559752773201787e-05,0.002654088561553151,0.05989207071982162,1.8347977630325333e-05,0.0017988213363064052,3.5062164631888264e-07,3.5062164631888264e-07,0.004124960544928031
110,0.00996141721294309,6.559073799674433e-06,0.0038582787056908423,0.04985402809504048,2.4815223843119013e-05,0.0029194380991904717,0.059881352943200836,2.016999965585855e-05,0.0019774509466527986,3.8568381095077087e-07,3.8568381095077087e-07,0.004537456599420834
120,0.009957916669129947,7.154166247908824e-06,0.00420833308700519,0.04984076450841185,2.7070033569985476e-05,0.0031847098317629966,0.05987063317505925,2.1992360239928513e-05,0.002156113749012599,4.207459755826591e-07,4.207459755826591e-07,0.004949952653913636
130,0.00995441728543386,7.749061476243436e-06,0.004558271456613785,0.049827504944796853,2.9324159384534436e-05,0.003449901104062874,0.05985991081212972,2.3815161937948594e-05,0.0023348197978380974,4.5580814021454744e-07,4.5580814021454744e-07,0.00536244870840644
140,0.009950919061549978,8.343759536503722e-06,0.004908093845002189,0.04981424953695589,3.157757871749914e-05,0.003715009260882251,0.05984918525114511,2.5638507305332166e-05,0.0025135791475815847,4.908703048464357e-07,4.908703048464357e-07,0.005774944762899243
150,0.009947421997173439,8.938260480515136e-06,0.005257800282655962,0.04980099841764933,3.383026899961285e-05,0.003980031647013276,0.059838455888838286,2.746249889749261e-05,0.0026924018526953536,5.259324694783239e-07,5.259324694783239e-07,0.006187440817392045
160,0.009943926091999393,9.532564360103133e-06,0.005607390800060665,0.04978775171963759,3.6082207661608827e-05,0.004244965607248096,0.0598277221219421,2.928723926984331e-05,0.002871297967631697,5.609946341102122e-07,5.609946341102122e-07,0.00659993687188485
170,0.009940431345722981,1.0126671227093162e-05,0.00595686542770186,0.04977450957568105,3.833337213422032e-05,0.0045098084863788605,0.05981698334718943,3.111283097779762e-05,0.003050277546842904,5.960567987421005e-07,5.960567987421005e-07,0.007012432926377652
180,0.009936937758039348,1.072058113331068e-05,0.006306224196065105,0.04976127211854011,4.058373984818059e-05,0.004774557629197716,0.05980623896131313,3.293937657676895e-05,0.0032293506447812694,6.311189633739887e-07,6.311189633739887e-07,0.007424928980870455
190,0.00993344532864364,1.1314294130581142e-05,0.006655467135635965,0.049748039480975156,4.28332882342229e-05,0.005039210380496811,0.05979548836104606,3.476697862217065e-05,0.003408527315899083,6.661811280058769e-07,6.661811280058769e-07,0.007837425035363258
200,0.009929954057230999,1.1907810270729994e-05,0.007004594276899995,0.049734811795746584,4.508199472308052e-05,0.005303764085068295,0.05978473094312109,3.6595739669416114e-05,0.003587817614648638,7.012432926377652e-07,7.012432926377652e-07,0.00824992108985606
210,0.00992646394349657,1.2501129605582698e-05,0.007353605650342763,0.049721589195614785,4.732983674548667e-05,0.0055682160877043125,0.05977396610427107,3.8425762273918695e-05,0.003767231595482225,7.363054572696535e-07,7.363054572696535e-07,0.008662417144348865
220,0.009922974987135501,1.3094252186964705e-05,0.007702501286449825,0.049708371813340146,4.9576791732174634e-05,0.005832563733197015,0.059763193241228876,4.025714899109181e-05,0.0039467793128521375,7.713676219015419e-07,7.713676219015419e-07,0.009074913198841668
230,0.009919487187842932,1.3687178066701463e-05,0.008051281215706741,0.04969515978168307,5.182283711387765e-05,0.006096804366338546,0.05975241175072737,4.209000237634879e-05,0.004126470821210666,8.0642978653343e-07,8.0642978653343e-07,0.00948740925333447
240,0.009916000545314009,1.4279907296618434e-05,0.008399945468599077,0.04968195323340394,5.4067950321329004e-05,0.006360935331921058,0.0597416210294994,4.392442498510304e-05,0.004306316175010102,8.414919511653182e-07,8.414919511653182e-07,0.009899905307827273
250,0.009912515059243876,1.4872439928541064e-05,0.00874849407561239,0.049668752301263164,5.631210878526193e-05,0.006624953974736697,0.05973082047427784,4.576051937276792e-05,0.004486325428702737,8.765541157972065e-07,8.765541157972065e-07,0.010312401362320076
260,0.009909030729327677,1.546477601429481e-05,0.00909692706723224,0.04965555711802112,5.855528993640969e-05,0.00688885763957761,0.05972000948179555,4.759838809475684e-05,0.004666508636740866,9.11616280429095e-07,9.11616280429095e-07,0.010724897416812882
270,0.009905547555260557,1.605691560570513e-05,0.009445244473944193,0.0496423678164382,6.079747120550556e-05,0.007152643671235946,0.059709187448785395,4.943813370648314e-05,0.004846875853576778,9.466784450609832e-07,9.466784450609832e-07,0.011137393471305684
280,0.009902065536737661,1.6648858754597462e-05,0.0097934463262338,0.049629184529274804,6.303863002328277e-05,0.007416309414503854,0.05969835377198024,5.127985876336021e-05,0.005027437133662765,9.817406096928714e-07,9.817406096928714e-07,0.011549889525798485
290,0.009898584673454133,1.7240605512797276e-05,0.010141532654586631,0.049616007389291325,6.527874382047458e-05,0.0076798522141734785,0.059687507848112935,5.312366582080142e-05,0.005208202531451119,1.0168027743247597e-06,1.0168027743247597e-06,0.01196238558029129
300,0.009895104965105117,1.783215593213002e-05,0.010489503489488246,0.04960283652924815,6.751779002781426e-05,0.007943269415036971,0.05967664907391636,5.496965743422018e-05,0.005389182101394135,1.051864938956648e-06,1.051864938956648e-06,0.012374881634784094
310,0.009891626411385758,1.8423510064421143e-05,0.010837358861424201,0.04958967208190567,6.975574607603506e-05,0.008206558361886477,0.059665776846123356,5.681793615902982e-05,0.0055703858979441,1.0869271035885362e-06,1.0869271035885362e-06,0.012787377689276895
320,0.009888149011991199,1.9014667961496103e-05,0.01118509880088006,0.04957651418002429,7.199258939587026e-05,0.008469716399514146,0.059654890561466806,5.866860455064373e-05,0.005751823975553307,1.1219892682204245e-06,1.1219892682204245e-06,0.0131998737437697
330,0.009884672766616323,1.9605629675224955e-05,0.011532723338367619,0.049563362954421826,7.422829774828894e-05,0.008732740911563404,0.05964398962551578,6.0521763662318114e-05,0.005933506241403737,1.1570514328523126e-06,1.1570514328523126e-06,0.0136123697982625
340,0.00988119767468333,2.0196395303833698e-05,0.011880232531666878,0.04955021653232161,7.64631895053253e-05,0.00899566935356768,0.059633082557247155,6.237596526798446e-05,0.0061152907125474965,1.1921135974842007e-06,1.1921135974842007e-06,0.014024865852755301
350,0.00987772373562558,2.0786964943651435e-05,0.012227626437442018,0.04953707318014619,7.86975593751471e-05,0.009258536397076128,0.05962217724087077,6.422986905196945e-05,0.006297045985487202,1.227175762116089e-06,1.227175762116089e-06,0.014437361907248106
360,0.00987425094910735,2.137733865175027e-05,0.012574905089264864,0.0495239328871154,8.093140919038072e-05,0.009521342257691847,0.0596112737236679,6.60834669764572e-05,0.006478771272201687,1.2622379267479774e-06,1.2622379267479774e-06,0.01484985796174091
370,0.009870779314792926,2.1967516485202312e-05,0.012922068520707241,0.0495107956424491,8.316474078365254e-05,0.009784087151017945,0.05960037205291981,6.793675100363185e-05,0.006660465784669789,1.2973000913798655e-06,1.2973000913798655e-06,0.015262354016233711
380,0.00986730883234659,2.2557498501079657e-05,0.013269116765340972,0.049497661435367116,8.539755598758897e-05,0.010046771292657524,0.05958947227590778,6.97897130956775e-05,0.006842128734870343,1.3323622560117539e-06,1.3323622560117539e-06,0.015674850070726516
390,0.00986383950143262,2.3147284756454412e-05,0.013616049856737889,0.04948453025508931,8.762985663481638e-05,0.01030939489821369,0.05957857443991307,7.164234521477829e-05,0.007023759334782185,1.367424420643642e-06,1.367424420643642e-06,0.016087346125219316
400,0.0098603713217153,2.3736875308398683e-05,0.013962867828469812,0.04947140209083552,8.986164455796116e-05,0.010571958183289546,0.059567678592216955,7.349463932311834e-05,0.007205356796384151,1.4024865852755303e-06,1.4024865852755303e-06,0.01649984217971212
410,0.009856904292858912,2.4326270213984567e-05,0.014309570714108568,0.049458276931825584,9.20929215896497e-05,0.010834461363488198,0.0595567847801007,7.534658738288179e-05,0.0073869203316550775,1.4375487499074187e-06,1.4375487499074187e-06,0.016912338234204925
420,0.00985343841452774,2.491546953028417e-05,0.01465615854722598,0.049445154767279356,9.432368956250837e-05,0.011096904654412747,0.05954589305084557,7.719818135625276e-05,0.0075684491525738,1.4726109145393068e-06,1.4726109145393068e-06,0.017324834288697726
430,0.00984997368638606,2.5504473314369596e-05,0.015002631361393879,0.04943203558641668,9.655395030916356e-05,0.0113592882716663,0.059535003451732856,7.904941320541535e-05,0.0077499424711191525,1.5076730791711952e-06,1.5076730791711952e-06,0.01773733034319053
440,0.009846510108098158,2.609328162331295e-05,0.015348989190184086,0.049418919378457396,9.878370566224169e-05,0.011621612430851962,0.0595241160300438,8.090027489255372e-05,0.007931399499269971,1.5427352438030835e-06,1.5427352438030835e-06,0.018149826397683335
450,0.009843047679328315,2.668189451418633e-05,0.015695232067168427,0.049405806132621355,0.00010101295745436911,0.011883877347572834,0.0595132308330597,8.275075837985199e-05,0.008112819449005097,1.5777974084349716e-06,1.5777974084349716e-06,0.018562322452176136
460,0.00983958639974081,2.7270312044061842e-05,0.01604136002591873,0.04939269583812839,0.00010324170751817222,0.012146083237432024,0.0595023479080618,8.460085562949425e-05,0.008294201532303359,1.61285957306686e-06,1.61285957306686e-06,0.01897481850666894
470,0.00983612626899993,2.785853427001159e-05,0.016387373100006816,0.049379588484198364,0.00010546995768627741,0.012408230316032635,0.05949146730233139,8.64505586036647e-05,0.008475544961143597,1.6479217376987483e-06,1.6479217376987483e-06,0.019387314561161745
480,0.009832667286769953,2.844656124910768e-05,0.016733271323004516,0.049366484060051105,0.00010769770979131106,0.01267031879897777,0.05948058906314972,8.829985926454739e-05,0.008656848947504646,1.6829839023306364e-06,1.6829839023306364e-06,0.019799810615654546
