Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.6688023517655954,0.386934859822681,0.2750218424589257
10,0.009991008401659705,8.99159834029659e-07,0.0008991598340295504,0.049974110927940504,2.588907205949779e-06,0.0005177814411899684,0.059977163129546054,2.283687045394829e-06,0.00038061450756576853,6.72495065736015e-08,6.72495065736015e-08,0.00134499013147203,0.6692518187013758,0.38528280191743747,0.29071179460836266
20,0.009982023711146561,1.79762888534387e-06,0.0017976288853438493,0.04994828574070082,5.171425929918055e-06,0.0010342851859835855,0.05995403703482865,4.596296517135689e-06,0.0007660494195225187,1.34499013147203e-07,1.34499013147203e-07,0.00268998026294406,0.6688035349979998,0.3869369441116751,0.27502337441234903
30,0.009973045911450856,2.6954088549144278e-06,0.002695408854914483,0.049922414456737396,7.758554326260686e-06,0.0015517108652520761,0.05993139499034438,6.86050096556241e-06,0.0011434168275935574,2.0174851972080454e-07,2.0174851972080454e-07,0.004034970394416091,0.6688019982562492,0.3844901776141688,0.2902570184563978
40,0.00996407503648342,3.5924963516579573e-06,0.0035924963516580366,0.049896353334973005,1.0364666502699553e-05,0.0020729333005399253,0.05991043663313542,8.956336686458783e-06,0.0014927227810763721,2.6899802629440607e-07,2.6899802629440607e-07,0.005379960525888121,0.6688024039007612,0.38685289973391435,0.2749564032334307
50,0.009955111089221584,4.488891077841613e-06,0.004488891077841561,0.04987070567697789,1.2929432302210984e-05,0.0025858864604422216,0.05988648385051976,1.1351614948024279e-05,0.0018919358246706208,3.362475328680075e-07,3.362475328680075e-07,0.006724950657360149,0.6688037277544103,0.38446248325058807,0.29025651503951055
60,0.009946153915442596,5.384608455740284e-06,0.005384608455740403,0.04984508891915542,1.5491108084458008e-05,0.003098221616891661,0.05986236329575953,1.3763670424047742e-05,0.0022939450706744857,4.0349703944160903e-07,4.0349703944160903e-07,0.00806994078883218,0.6687957582547736,0.3866492049606314,0.27479351909589644
70,0.009937203571391644,6.279642860835458e-06,0.006279642860835599,0.049819327495091575,1.8067250490843056e-05,0.0036134500981684914,0.059839473979871716,1.6052602012828742e-05,0.0026754336688047387,4.7074654601521056e-07,4.7074654601521056e-07,0.009414930920304211,0.6687931736662032,0.3841662749195704,0.29021525591734476
80,0.009928260075390712,7.173992460928698e-06,0.0071739924609287575,0.04979337968826259,2.0662031173741387e-05,0.004132406234748198,0.05981815227221675,1.81847727783258e-05,0.003030795463054181,5.37996052588812e-07,5.37996052588812e-07,0.01075992105177624,0.6687976974468549,0.3865709048512883,0.2747307292120073
90,0.009919323405838554,8.067659416144463e-06,0.008067659416144624,0.04976733412456705,2.326658754329577e-05,0.0046533175086590495,0.05979769752245635,2.023024775436499e-05,0.0033717079590607213,6.052455591624136e-07,6.052455591624136e-07,0.012104911183248272,0.6687995015005609,0.3841257658560472,0.29021616880819245
