Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.009988547857130641,1.1452142869358655e-06,0.0011452142869358656,0.049961018109035686,3.898189096431553e-06,0.0007796378192863106,0.05996565512157928,3.434487842071928e-06,0.0005724146403453213,9.613314136555347e-08,9.613314136555347e-08,0.0019226628273110692
20,0.009977108204882654,2.2891795117345854e-06,0.0022891795117345854,0.04992209182623852,7.790817376148865e-06,0.001558163475229773,0.05993107680981802,6.892319018198881e-06,0.0011487198363664803,1.9226628273110693e-07,1.9226628273110693e-07,0.0038453256546221383
30,0.009965681125683653,3.43188743163474e-06,0.00343188743163474,0.04988313655495331,1.1686344504669705e-05,0.0023372689009339407,0.05989693387311419,1.0306612688581455e-05,0.0017177687814302425,2.8839942409666037e-07,2.8839942409666037e-07,0.005767988481933207
40,0.009954266697554871,4.573330244512801e-06,0.004573330244512801,0.04984412284084762,1.5587715915238867e-05,0.0031175431830477735,0.05986348036043097,1.3651963956903178e-05,0.0022753273261505295,3.8453256546221376e-07,3.8453256546221376e-07,0.007690651309244275
50,0.009942864731062425,5.713526893757491e-06,0.00571352689375749,0.04980509596164013,1.949040383598767e-05,0.0038980807671975333,0.05983030930666452,1.696906933354847e-05,0.0028281782222580785,4.806657068277673e-07,4.806657068277673e-07,0.009613314136555346
60,0.009931475103864459,6.852489613553951e-06,0.00685248961355395,0.04976608890866259,2.3391109133741757e-05,0.004678221826748351,0.05979713042244149,2.028695775585177e-05,0.003381159625975295,5.767988481933207e-07,5.767988481933207e-07,0.011535976963866414
70,0.009920097811636554,7.990218836344423e-06,0.007990218836344421,0.049727103630414854,2.728963695851507e-05,0.005457927391703013,0.0597639303906062,2.3606960939380338e-05,0.003934493489896723,6.729319895588742e-07,6.729319895588742e-07,0.013458639791177483
80,0.009908732850054287,9.126714994571145e-06,0.009126714994571144,0.04968814207539679,3.118579246032154e-05,0.006237158492064308,0.05973069589400299,2.693041059970141e-05,0.004488401766616901,7.690651309244277e-07,7.690651309244277e-07,0.015381302618488553
90,0.009897380214793236,1.0261978520676361e-05,0.01026197852067636,0.049649206192108254,3.507938078917509e-05,0.007015876157835017,0.05969741361547618,3.025863845238225e-05,0.005043106408730375,8.651982722899812e-07,8.651982722899812e-07,0.017303965445799624
100,0.009886039901528976,1.1396009847102313e-05,0.01139600984710231,0.049610297929049106,3.8970207095089675e-05,0.007794041419017934,0.059664070237870105,3.359297621299011e-05,0.005598829368831684,9.613314136555346e-07,9.613314136555346e-07,0.019226628273110693
110,0.009874711905937087,1.2528809406291238e-05,0.012528809406291235,0.049571419234719215,4.285807652807921e-05,0.008571615305615843,0.059630652444029084,3.693475559709223e-05,0.006155792599515372,1.057464555021088e-06,1.057464555021088e-06,0.02114929110042176
120,0.009863396223693146,1.3660377630685378e-05,0.013660377630685377,0.04953257205761843,4.674279423815763e-05,0.009348558847631526,0.05959714691679745,4.0285308320255873e-05,0.006714218053375979,1.1535976963866415e-06,1.1535976963866415e-06,0.023071953927732827
130,0.00985209285047273,1.4790714952726974e-05,0.014790714952726972,0.049493758346246614,5.062416537533888e-05,0.010124833075067775,0.05956354033901952,4.364596609804828e-05,0.0072743276830080465,1.2497308377521951e-06,1.2497308377521951e-06,0.024994616755043903
140,0.009840801781951417,1.591982180485827e-05,0.015919821804858268,0.04945498004910363,5.450199508963688e-05,0.010900399017927376,0.059529819393539636,4.701806064603671e-05,0.007836343441006118,1.3458639791177484e-06,1.3458639791177484e-06,0.026917279582354965
150,0.009829523013804783,1.7047698619521508e-05,0.017047698619521504,0.04941623911468935,5.837608853106559e-05,0.011675217706213117,0.05949597076320212,5.040292367978842e-05,0.008400487279964737,1.441997120483302e-06,1.441997120483302e-06,0.028839942409666038
