Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
120,0.009873123551967728,1.2687644803227157e-05,0.01268764480322726,0.04978422834577319,2.1577165422681328e-05,0.004315433084536302,0.05980278070411379,1.9721929588621194e-05,0.003286988264770141,1.296e-06,1.296e-06,0.02592,0.49173602644197595,0.16787080323742073,0.12580074598801008
130,0.00986260075337565,1.3739924662435075e-05,0.013739924662435121,0.049766418601927966,2.3358139807203496e-05,0.004671627961440716,0.05978511886827479,2.1488113172520612e-05,0.0035813521954201066,1.404e-06,1.404e-06,0.02808,0.49173197181873346,0.16697902706024173,0.13352671412773964
140,0.009852085494178727,1.479145058212727e-05,0.014791450582127275,0.04974862437854597,2.5137562145403387e-05,0.005027512429080616,0.0597671381177045,2.3286188229549288e-05,0.00388103137159157,1.5119999999999999e-06,1.5119999999999999e-06,0.030239999999999996,0.4917723244840934,0.1678704584439858,0.12579991709243168
150,0.00984157784059543,1.5842215940456836e-05,0.015842215940456983,0.04973082387136699,2.691761286330096e-05,0.005383522572660171,0.05974917479035625,2.5082520964375254e-05,0.00418042016072917,1.62e-06,1.62e-06,0.0324,0.49178967305374377,0.16702175994978508,0.13356176468918454
160,0.009831077844753802,1.6892215524619663e-05,0.016892215524619836,0.04971300028191398,2.8699971808602626e-05,0.005739994361720457,0.05973148926284837,2.685107371516296e-05,0.004475178952527137,1.728e-06,1.728e-06,0.03456,0.491881110540503,0.16783558110263438,0.12577169095967503
170,0.009820585544691455,1.7941445530854424e-05,0.017941445530854527,0.04969514181749299,3.0485818250701232e-05,0.006097163650140236,0.059714265950464265,2.857340495357327e-05,0.004762234158928846,1.8359999999999999e-06,1.8359999999999999e-06,0.036719999999999996,0.4919022714492369,0.16709389956868848,0.13362865156628656
180,0.009810100964355573,1.8989903564442584e-05,0.018989903564442745,0.04967724169119324,3.2275830880676095e-05,0.006455166176135285,0.05969761330715236,3.0238669284763472e-05,0.005039778214127266,1.944e-06,1.944e-06,0.03888,0.4919242326816046,0.16796118248648323,0.12586753595584727
190,0.009799624113602915,2.00375886397084e-05,0.020037588639708503,0.049659298121887074,3.407018781129295e-05,0.0068140375622585125,0.05968156382552613,3.184361744738726e-05,0.00530726957456451,2.052e-06,2.052e-06,0.04104,0.4919148473607461,0.16665128338616547,0.13336530491295773
200,0.00978915498819981,2.108450118001891e-05,0.021084501180019033,0.04964131433422996,3.586856657700402e-05,0.0071737133154008426,0.05966607403686405,3.339259631359476e-05,0.005565432718932395,2.16e-06,2.16e-06,0.0432,0.4920064990552369,0.16750128406299142,0.12551253614522132
210,0.00977869356982216,2.213064301778395e-05,0.022130643017784002,0.049623298558660524,3.7670144133947945e-05,0.007534028826789552,0.05965102451110967,3.4897548889032494e-05,0.005816258148172104,2.2679999999999997e-06,2.2679999999999997e-06,0.04535999999999999,0.492053134569942,0.1665416567290504,0.13333043226647856
