Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.8988575897476097,0.664310727882003,0.44507946689612465
10,0.009996176417999228,3.82358200077135e-07,0.0003823582000772596,0.04998591841395963,1.4081586040371895e-06,0.0002816317208075292,0.059988433740698205,1.1566259301795874e-06,0.00019277098836323336,2.1273106923838694e-08,2.1273106923838694e-08,0.00042546213847677387,0.8989691788892961,0.6619276501583348,0.4543075042539556
20,0.009992354247139032,7.6457528609684e-07,0.000764575286096858,0.049971787751366424,2.8212248633580818e-06,0.0005642449726716015,0.05997709617323202,2.2903826767980443e-06,0.00038173044613298845,4.25462138476774e-08,4.25462138476774e-08,0.000850924276953548,0.8988580566953693,0.6643134301479561,0.44508297744117464
30,0.009988533483076519,1.1466516923481118e-06,0.0011466516923481773,0.04995768934078357,4.231065921643389e-06,0.000846213184328648,0.05996563743131504,3.4362568684962625e-06,0.0005727094780826336,6.381932077151609e-08,6.381932077151609e-08,0.0012763864154303217,0.8988578881870608,0.6617548144477139,0.4542412729945433
40,0.009984714124886489,1.528587511351065e-06,0.0015285875113510983,0.04994366294801396,5.633705198604342e-06,0.00112674103972088,0.05995388653011352,4.611346988647832e-06,0.0007685578314412522,8.509242769535478e-08,8.509242769535478e-08,0.0017018485539070955,0.8988576961404815,0.6643067803365814,0.4450735217138017
50,0.009980896172751622,1.9103827248377147e-06,0.0019103827248379002,0.04992961388318701,7.038611681299546e-06,0.0014077223362598534,0.05994225041998325,5.77495800167464e-06,0.0009624930002790633,1.0636553461919349e-07,1.0636553461919349e-07,0.0021273106923838697,0.8988575526034084,0.6617407273855557,0.45425568363062807
60,0.009977079626809856,2.2920373190143485e-06,0.002292037319014506,0.04991551032523962,8.448967476037834e-06,0.0016897934952075921,0.05993086611910126,6.913388089873934e-06,0.001152231348312216,1.2763864154303218e-07,1.2763864154303218e-07,0.0025527728308606433,0.8988573307702948,0.6643025628002228,0.44506766549746096
70,0.009973264487274711,2.6735512725288717e-06,0.0026735512725288846,0.04990135486804089,9.864513195911022e-06,0.0019729026391822613,0.05991972266735242,8.02773326475818e-06,0.0013379555441263014,1.4891174846687092e-07,1.4891174846687092e-07,0.0029782349693374182,0.8988571057487867,0.6617313122883456,0.4542647368534937
80,0.009969450754435292,3.054924556470813e-06,0.0030549245564708283,0.049887184520392064,1.128154796079392e-05,0.002256309592158723,0.05990866112632945,9.133887367055087e-06,0.0015223145611757971,1.7018485539070966e-07,1.7018485539070966e-07,0.003403697107814193,0.8988569190536554,0.6642937530021087,0.4450549706834167
90,0.009965638428656286,3.436157134371318e-06,0.003436157134371398,0.04987307070602656,1.2692929397344326e-05,0.0025385858794687577,0.059897374579332925,1.0262542066707584e-05,0.0017104236777845117,1.9145796231454835e-07,1.9145796231454835e-07,0.0038291592462909667,0.8988576405198763,0.6617134825676729,0.4542850619519619
