Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.5500719514288588,0.2547841447723654,0.18703721895234787
10,0.009989489354569309,1.0510645430691926e-06,0.0010510645430691357,0.04997574508531807,2.425491468193314e-06,0.0004850982936387416,0.05997788434752709,2.211565247290581e-06,0.0003685942078817117,9.557841513353753e-08,9.557841513353753e-08,0.0019115683026707504,0.550782079837738,0.2542493731969219,0.19870728236035545
20,0.009978987148739108,2.1012851260891804e-06,0.002101285126089203,0.04995154769278336,4.845230721664021e-06,0.0009690461443329079,0.05995546705537967,4.4532944620332255e-06,0.0007422157436720589,1.9115683026707503e-07,1.9115683026707503e-07,0.0038231366053415004,0.5500745179982827,0.25480047279463547,0.18704974753109502
30,0.009968493343184505,3.1506656815493827e-06,0.003150665681549536,0.049927321187253716,7.267881274628322e-06,0.0014535762549257036,0.059933572674403746,6.642732559625868e-06,0.001107122093270907,2.867352454006126e-07,2.867352454006126e-07,0.0057347049080122515,0.5500743090179125,0.2534079744757144,0.1980919267621452
40,0.009958007832119241,4.199216788075834e-06,0.004199216788075888,0.049902939164871464,9.706083512853656e-06,0.0019412167025707472,0.05991332653843708,8.667346156291931e-06,0.0014445576927152315,3.8231366053415023e-07,3.8231366053415023e-07,0.007646273210683004,0.5500762424726792,0.2547352516584101,0.1869992123344792
50,0.00994753088897073,5.24691110292713e-06,0.0052469111029270765,0.04987892102721432,1.210789727856842e-05,0.0024215794557136405,0.059890074450069025,1.0992554993097702e-05,0.0018320924988495246,4.778920756676877e-07,4.778920756676877e-07,0.009557841513353753,0.5500762544511097,0.2533431785466204,0.1980666651063093
60,0.009937062282936867,6.293771706313337e-06,0.0062937717063134,0.04985493112443554,1.4506887556446083e-05,0.0029013775112891604,0.059866692596695595,1.3330740330440999e-05,0.0022217900550733916,5.734704908012252e-07,5.734704908012252e-07,0.011469409816024503,0.5500760235470076,0.2546990719311363,0.18697123166541874
70,0.009926602000746193,7.339799925380716e-06,0.007339799925380697,0.04983082559953694,1.691744004630609e-05,0.0033834880092611375,0.059844580809585636,1.5541919041436987e-05,0.0025903198402393857,6.690489059347627e-07,6.690489059347627e-07,0.013380978118695253,0.5500747858653842,0.25329279358403334,0.19804521291086277
80,0.009916150012082074,8.384998791792609e-06,0.008384998791792664,0.0498065699362202,1.934300637798019e-05,0.003868601275596073,0.059824057676895914,1.759423231040876e-05,0.0029323720517346885,7.646273210683002e-07,7.646273210683002e-07,0.015292546421366003,0.5500811612056156,0.25461208905192656,0.1869034341226271
90,0.009905706267303112,9.429373269688895e-06,0.009429373269688845,0.04978223667294077,2.1776332705922796e-05,0.004355266541184566,0.05980437909288623,1.9562090711377466e-05,0.0032603484518961556,8.602057362018377e-07,8.602057362018377e-07,0.017204114724036754,0.5500829652302857,0.25320557019068385,0.19801279590570164
