10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient,Time (s),phi_w
0.32406416283720685,0.20156235925598023,0.14997191935187007,0.0,[0.20283079 0.53208913 0.1938152 ]
0.32457513246613123,0.2015987177753331,0.15615445474782683,32.334736593257816,[0.20283662 0.49716078 0.22873568]
0.32410433483349615,0.2017770850267668,0.15013795108440528,0.1860744054030337,[0.20286447 0.53197579 0.19388304]
0.3241057863678528,0.20115334660692494,0.15579646936008132,0.27911160810455055,[0.20286447 0.49716129 0.22869753]
0.32410723728595153,0.20178075548331564,0.1501407074749401,0.3721488108060674,[0.20286447 0.53197585 0.19388298]
0.32413138772498373,0.20117241331500985,0.15581491369906475,2.2328928648364044,[0.20286006 0.49714854 0.22871624]
0.3241467616217299,0.20181705414568224,0.15016760598786172,3.1632648918515724,[0.20286084 0.53198737 0.19387635]
0.3241603680767534,0.20120889020384033,0.1558405825884142,4.093636918866741,[0.20286003 0.49716525 0.22869958]
0.32442178367076213,0.20203093288727605,0.1503242012876477,22.66763263940284,[0.20283438 0.5320852  0.19381429]
0.3245667103284156,0.20159212793794293,0.15615027740860118,31.95463049967089,[0.20283455 0.4971579  0.22874135]
0.32468691105793096,0.20226423513811326,0.15049645765543213,41.24162835993894,[0.20281218 0.53216139 0.19376809]
0.32603090860534356,0.20333200388786637,0.15740463132246815,127.04397282149093,[0.20281605 0.49780433 0.22811993]
0.32663423642779604,0.20447928445940353,0.15215229341251515,169.94514505226692,[0.20275796 0.53238906 0.19361369]
0.32728615098046254,0.20459790474651293,0.1584038368197424,212.8463172830429,[0.2027413  0.4979053  0.22811997]
0.33085987610385365,0.20848054247202374,0.15511636284817354,459.9124226232867,[0.20247175 0.53342564 0.1929639 ]
0.33275207171041177,0.2101743265147515,0.1627656850961443,583.4454752934087,[0.20245987 0.49845592 0.22794966]
0.3345616505294907,0.21256690737541048,0.15816560916504063,706.9785279635306,[0.20234057 0.53394982 0.19261698]
0.34270955100133277,0.22252536532281528,0.17144853955069095,1222.0211449154635,[0.2023953  0.50382609 0.22266675]
0.3464376756958396,0.22699751671622018,0.16897802693486164,1479.5424533914302,[0.20221066 0.53492103 0.19182133]
0.3504761701682003,0.2314461749044355,0.17807764266676207,1737.0637618673968,[0.20219626 0.50606611 0.2206957 ]
0.3657986309700021,0.24720306939473174,0.18400941038088287,2765.8764852272025,[0.20123786 0.53880163 0.18925533]
0.37347402700754107,0.2574614657112639,0.19762212131780452,3280.2828469071055,[0.20151125 0.51139574 0.21629175]
0.3812289171119109,0.26593876134350264,0.198031932430673,3794.689208587008,[0.20105634 0.5406386  0.18766364]
0.4073154626577698,0.300608188292632,0.22584919264864164,5409.317746654544,[0.20171061 0.53356313 0.19385497]
0.41675557364683785,0.30859747995987413,0.2298842481162749,6216.632015688312,[0.20055899 0.54666577 0.18230857]
