10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient,Time (s)
0.8690163549321761,0.6904298703647787,0.48922794909875245,0.0
0.8690743025620348,0.6904935881593468,0.48927252634056967,126.31787996334765
0.8690368646635439,0.6904048255518604,0.4892098590544242,0.2917339936141444
0.8690371936723954,0.6904048713652866,0.48920967533939863,0.43760099042121664
0.8690379591420682,0.6904042398649295,0.48920946255764364,0.5834679872282889
0.8690413627403213,0.6904076342652539,0.48921166066917726,3.5008079233697336
0.8690429777360161,0.6904094304197006,0.48921294116281033,4.959477891440455
0.869044592940884,0.6904112267444379,0.4892142217751916,6.418147859511178
0.8690768977071366,0.6904471489901747,0.4892398306269132,35.59154722092563
0.8690930224401118,0.6904650813214649,0.4892526143941326,50.178246901632846
0.8691091681329414,0.6904830305436539,0.4892654099347589,64.76494658234007
0.8694332727079592,0.6908415931029354,0.4895194993798351,356.49894019648457
0.8695927839597611,0.6910180036574035,0.48964417953807593,502.3659370035568
0.8697539636389393,0.6911961143562898,0.48977063277749827,648.232933810629
0.8729867143704669,0.6947182087370378,0.4922658908581311,3565.572869952074
0.8744122973865753,0.6960829459304033,0.49323335411746433,5024.242838022797
0.8762414492083226,0.697404472381605,0.49416978447454657,6482.912806093519
0.8855841353784355,0.703582513549268,0.4985474460503555,20545.852428047117
0.8875735745104107,0.7060650313941088,0.5003065167380463,27577.322239023917
0.8915533700841479,0.7095276919326362,0.5027600596345734,34608.79205000072
0.9000979353502214,0.7154904458847903,0.5069849165358086,42304.39602500036
0.9015439290816312,0.7174766742057057,0.5083923548916537,46152.19801250018
0.9055193990246355,0.7206327689055572,0.5106288675157264,50000.0
0.9128982166274117,0.7260196808796453,0.5144458223330549,0.0
0.9138234513700985,0.7274943735762602,0.5154908039549102,33.0981793264963
0.9175463091043763,0.7302482309654644,0.5174420663075063,0.18668100462361029
0.9220109318787498,0.7336984326246602,0.5198870342515998,0.28002150693541544
0.9228954813255377,0.7347578018592683,0.5206375844041883,0.37336200924722057
0.9251679228599106,0.7364554977162031,0.5218405801406177,2.2401720554833235
