Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.7422670477890037,0.5564026182233374,0.3802270666898184
5,0.009995455597673994,4.544402326006085e-07,0.00045444023260066135,0.04998300410593952,1.6995894060475765e-06,0.0003399178812096837,0.059985818796396584,1.4181203603414974e-06,0.00023635339339023176,3.061772018744381e-08,3.061772018744381e-08,0.0006123544037488762,0.7425481202863311,0.5539981662582012,0.3934383871710606
10,0.009990913019666554,9.086980333445164e-07,0.0009086980333447015,0.04996605942653313,3.394057346686766e-06,0.0006788114693374592,0.059971377907887355,2.862209211264248e-06,0.0004770348685440018,6.123544037488764e-08,6.123544037488764e-08,0.0012247088074977526,0.7422702064539473,0.5564056348905657,0.38022966262705654
15,0.009986372276915829,1.362772308416989e-06,0.0013627723084170817,0.04994911613065794,5.088386934205853e-06,0.0010176773868413314,0.05995695704639699,4.304295360301151e-06,0.0007173825600501615,9.185316056233146e-08,9.185316056233146e-08,0.001837063211246629,0.7422724277315248,0.5536272392831588,0.3932254146025095
20,0.009981833372960228,1.8166627039771031e-06,0.0018166627039772898,0.04993217139948138,6.782860051861591e-06,0.0013565720103724255,0.05994257282043923,5.742717956076838e-06,0.000957119659346084,1.2247088074977527e-07,1.2247088074977527e-07,0.002449417614995505,0.7422717590076272,0.5564080139277484,0.38023144633574313
25,0.00997729631133816,2.2703688661839335e-06,0.002270368866184036,0.04991522241417089,8.47775858291073e-06,0.0016955517165823109,0.05992824183852784,7.175816147215938e-06,0.0011959693578693642,1.530886009372191e-07,1.530886009372191e-07,0.003061772018744382,0.7422865224402982,0.5536447583379047,0.3932390666205521
30,0.009972761095588034,2.7238904411965568e-06,0.002723890441196586,0.049898266355893894,1.017336441061002e-05,0.0020346728821221127,0.05991398070917657,8.60192908234308e-06,0.001433654847057153,1.837063211246629e-07,1.837063211246629e-07,0.003674126422493258,0.7422941162813996,0.5564414607417199,0.38025598788848564
35,0.009968227729248259,3.1772270751740495e-06,0.003177227075174205,0.049881300405817834,1.186995941821622e-05,0.0023739918836434004,0.05989980604089917,1.0019395910082892e-05,0.0016698993183470456,2.1432404131210676e-07,2.1432404131210676e-07,0.004286480826242135,0.7423028523398378,0.5536620348146623,0.393252001504802
40,0.009963696215857245,3.6303784142754863e-06,0.0036303784142756035,0.049864321745110136,1.3567825488986079e-05,0.002713565097797299,0.0598857344422094,1.1426555779060009e-05,0.001904425963176637,2.449417614995506e-07,2.449417614995506e-07,0.004898835229991012,0.7424427879997256,0.5565849755359391,0.3803422429729972
45,0.009959166555087696,4.0833444912302965e-06,0.0040833444912303785,0.04984732984336771,1.526701566322852e-05,0.0030534031326457933,0.05987176889855667,1.2823110144332805e-05,0.0021371850240554657,2.755594816869943e-07,2.755594816869943e-07,0.005511189633739886,0.7425139791982277,0.5538360625487846,0.3934839073230047
