Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2_{V_2},Added Buffer,Diavolumes
150,0.012391614835267295,1.8425478004559938e-11,0.008670813178616439,0.06223834365100721,4.448157932877521e-11,0.004186501583884726,0.0747614825440565,4.054796751039454e-11,0.003180232745913297,1.602212855256448e-06,1.602212855256448e-06,0.018849563003017034
160,0.012384409301912343,1.9650418674901825e-11,0.00924725584701262,0.062220834922001214,4.745806325979445e-11,0.004466641247980654,0.07474578518925835,4.3216517826079176e-11,0.003389530809888563,1.709027045606878e-06,1.709027045606878e-06,0.020106200536551502
170,0.012377206275031074,2.087493324471752e-11,0.009823497997514124,0.06220332109955392,5.0435413075834565e-11,0.004746862407137371,0.07473007956921364,4.5886473233680516e-11,0.003598939077151413,1.8158412359573076e-06,1.8158412359573076e-06,0.02136283807008597
180,0.01237000575579495,2.2099021514858365e-11,0.010399539536403934,0.062185802258709934,5.341361601931175e-11,0.0050271638606411055,0.07471436535911025,4.855788895125743e-11,0.0038084618785299944,1.9226554263077374e-06,1.9226554263077374e-06,0.02261947560362044
190,0.012362807745375438,2.3322683286175713e-11,0.01097538036996504,0.06216827847451387,5.639265933264226e-11,0.005307544407778095,0.07469864223413607,5.123082019686876e-11,0.004018103544852452,2.0294696166581676e-06,2.0294696166581676e-06,0.02387611313715491
200,0.012355612244943996,2.4545918359520923e-11,0.011551020404480432,0.06215074982201035,5.937253025824226e-11,0.005588002847834565,0.07468290986947898,5.3905322188573384e-11,0.004227868406946932,2.1362838070085974e-06,2.1362838070085974e-06,0.025132750670689378
210,0.012348419255672087,2.5768726535745347e-11,0.012126459546233103,0.06213321637624396,6.235321603852798e-11,0.005868537980096751,0.07466716794032688,5.658145014443014e-11,0.00443776079564158,2.243097997359027e-06,2.243097997359027e-06,0.026389388204223846
220,0.012341228778731176,2.6991107615700335e-11,0.012701697701506039,0.06211567821225932,6.533470391591564e-11,0.0061491486038508835,0.07465141612186765,5.925925928249791e-11,0.004647785041764542,2.349912187709457e-06,2.349912187709457e-06,0.027646025737758317
230,0.012334040815292723,2.821306140023724e-11,0.01327673477658223,0.062098135405101056,6.831698113282144e-11,0.006429833518383193,0.0746356540892892,6.193880482083555e-11,0.004857945476143964,2.456726378059887e-06,2.456726378059887e-06,0.028902663271292785
240,0.012326855366528193,2.9434587690207413e-11,0.013851570677744663,0.06208058802981376,7.130003493166158e-11,0.006710591522979913,0.0746198815177794,6.46201419775019e-11,0.005068246429607992,2.5635405684103166e-06,2.5635405684103166e-06,0.030159300804827253
250,0.012319672433609046,3.0655686286462215e-11,0.014426205311276334,0.06206303616144205,7.428385255485231e-11,0.006991421416927275,0.07460409808252615,6.730332597055584e-11,0.005278692232984773,2.6703547587607464e-06,2.6703547587607464e-06,0.03141593833836172
260,0.012312492017706747,3.1876356989852996e-11,0.01500063858346023,0.062045479875030535,7.726842124480978e-11,0.007272321999511509,0.07458830345871732,6.998841201805621e-11,0.005489287217102449,2.7771689491111767e-06,2.7771689491111767e-06,0.032672575871896196
270,0.012305314119992758,3.30965996012311e-11,0.015574870400579336,0.06202791924562383,8.025372824395026e-11,0.007553292070018847,0.07457249732154081,7.26754553380619e-11,0.005700035712789169,2.883983139461606e-06,2.883983139461606e-06,0.033929213405430654
280,0.012298138741638542,3.4316413921447894e-11,0.016148900668916652,0.06201035434826654,8.323976079468995e-11,0.007834330427735525,0.07455667934618451,7.536451114863174e-11,0.005910942050873078,2.9907973298120363e-06,2.9907973298120363e-06,0.03518585093896513
290,0.012290965883815562,3.5535799751354716e-11,0.016722729294755156,0.061992785258003266,8.622650613944502e-11,0.008115435871947765,0.07454084920783632,7.805563466782459e-11,0.0061220105621823204,3.097611520162466e-06,3.097611520162466e-06,0.0364424884724996
300,0.012283795547695278,3.675475689180293e-11,0.017296356184377845,0.061975212049878645,8.921395152063171e-11,0.008396607201941807,0.07452500658168412,8.074888111369933e-11,0.006333245577545046,3.204425710512896e-06,3.204425710512896e-06,0.03769912600603407
310,0.012276627734449154,3.7973285143643883e-11,0.017869781244067708,0.06195763479893726,9.220208418066624e-11,0.008677843217003881,0.0745091511429158,8.344430570431482e-11,0.006544651427789397,3.3112399008633257e-06,3.3112399008633257e-06,0.03895576353956853
320,0.012269462445248654,3.919138430772893e-11,0.01844300438010773,0.06194005358022374,9.519089136196481e-11,0.008959142716420216,0.07449328256671923,8.614196365772989e-11,0.00675623244374352,3.4180540912137555e-06,3.4180540912137555e-06,0.040212401073103005
330,0.01226229968126524,4.0409054184909424e-11,0.0190160254987809,0.06192246846878269,9.818036030694362e-11,0.009240504499477047,0.07447740052828233,8.884191019200342e-11,0.006967992956235562,3.5248682815641853e-06,3.5248682815641853e-06,0.04146903860663747
340,0.012255139443670373,4.162629457603672e-11,0.019588844506370218,0.061904879539658716,1.0117047825801894e-10,0.009521927365460606,0.07446150470279297,9.154420052519429e-11,0.0071799372960936695,3.6316824719146155e-06,3.6316824719146155e-06,0.04272567614017195
350,0.012247981733635517,4.284310528196217e-11,0.020161461309158663,0.061887286867896435,1.0416123245760688e-10,0.009803410113657119,0.07444559476543905,9.424888987536132e-11,0.007392069794145986,3.7384966622650453e-06,3.7384966622650453e-06,0.04398231367370641
360,0.012240826552332135,4.4059486103537126e-11,0.020733875813429233,0.06186969052854045,1.0715261014812373e-10,0.010084951543352821,0.07442967039140845,9.695603346056341e-11,0.007604394781220659,3.8453108526154756e-06,3.8453108526154756e-06,0.045238951207240884
370,0.012233673900931689,4.527543684161293e-11,0.021306087925464904,0.061852090596635385,1.1014459857198566e-10,0.010366550453833943,0.07441373125588906,9.966568649885937e-11,0.007816916588145834,3.952125042965905e-06,3.952125042965905e-06,0.046495588740775355
380,0.012226523780605642,4.6490957297040955e-11,0.02187809755154868,0.061834487147225836,1.1313718497160893e-10,0.010648205644386722,0.07439777703406877,1.0237790420830811e-10,0.008029639545749655,4.058939233316335e-06,4.058939233316335e-06,0.04775222627430982
390,0.012219376192525456,4.7706047270672536e-11,0.022449904597963543,0.06181688025535642,1.1613035658940967e-10,0.01092991591429738,0.07438180740113548,1.0509274180696844e-10,0.008242567984860269,4.165753423666765e-06,4.165753423666765e-06,0.04900886380784429
400,0.012212231137862595,4.892070656335904e-11,0.023021508970992484,0.06179926999607174,1.1912410066780417e-10,0.011211680062852156,0.07436582203227707,1.0781025451289925e-10,0.008455706236305824,4.272567614017195e-06,4.272567614017195e-06,0.050265501341378756
410,0.01220508861778852,5.01349349759518e-11,0.02359291057691849,0.061781656444416425,1.2211840444920862e-10,0.011493496889337282,0.07434982060268142,1.1053049754415942e-10,0.008669058630914463,4.379381804367625e-06,4.379381804367625e-06,0.05152213887491323
420,0.012197948633474693,5.13487323093022e-11,0.02416410932202456,0.06176403967543507,1.251132551760392e-10,0.011775365193038982,0.07433380278753643,1.1325352611880775e-10,0.008882629499514332,4.486195994718055e-06,4.486195994718055e-06,0.052778776408447706
430,0.01219081118609258,5.2562098364261565e-11,0.024735105112593674,0.061746419764172285,1.2810864009071212e-10,0.012057283773243492,0.07431776826202999,1.1597939545490313e-10,0.00909642317293358,4.593010185068484e-06,4.593010185068484e-06,0.05403541394198216
440,0.01218367627681364,5.377503294168126e-11,0.025305897854908825,0.06172879678567269,1.3110454643564366e-10,0.01233925142923705,0.07430171670134997,1.1870816077050447e-10,0.00931044398200035,4.699824375418914e-06,4.699824375418914e-06,0.055292051475516635
450,0.012176543906809337,5.498753584241264e-11,0.025876487455253006,0.061711170814980884,1.3410096145325e-10,0.012621266960305882,0.07428564778068429,1.2143987728367058e-10,0.00952469625754279,4.806638565769345e-06,4.806638565769345e-06,0.056548689009051106
460,0.012169414077251136,5.6199606867307056e-11,0.0264468738199092,0.06169354192714149,1.3709787238594728e-10,0.012903329165736215,0.07426956117522082,1.241746002124603e-10,0.009739184330389042,4.913452756119774e-06,4.913452756119774e-06,0.05780532654258557
470,0.012162286789310495,5.7411245817215846e-11,0.02701705685516039,0.06167591019719911,1.4009526647615177e-10,0.013185436844814283,0.07425345656014745,1.2691238477493248e-10,0.009953912531367253,5.0202669464702034e-06,5.0202669464702034e-06,0.059061964076120035
480,0.01215516204415888,5.862245249299038e-11,0.027587036467289588,0.061658275700198356,1.4309313096627972e-10,0.013467588796826326,0.07423733361065209,1.2965328618914608e-10,0.010168885191305575,5.127081136820634e-06,5.127081136820634e-06,0.060318601609654514
490,0.012148039842967754,5.983322669548202e-11,0.02815681256257977,0.06164063851118384,1.4609145309874726e-10,0.013749783821058566,0.07422119200192259,1.3239735967315985e-10,0.010384106641032145,5.233895327171065e-06,5.233895327171065e-06,0.06157523914318899
500,0.012140920186908577,6.104356822554209e-11,0.028726385047313913,0.061622998705200174,1.4909022011597067e-10,0.014032020716797239,0.07420503140914686,1.351446604450327e-10,0.010599581211375114,5.340709517521494e-06,5.340709517521494e-06,0.06283187667672345
510,0.012133803077152812,6.225347688402196e-11,0.029295753827775037,0.06160535635729197,1.520894192603661e-10,0.014314298283328574,0.07418885150751281,1.378952437228235e-10,0.010815313233162626,5.4475237078719235e-06,5.4475237078719235e-06,0.06408851421025792
520,0.012126688514871925,6.346295247177298e-11,0.0298649188102461,0.06158771154250383,1.5508903777434984e-10,0.014596615319938807,0.07417265197220829,1.4064916472459105e-10,0.011031307037222826,5.554337898222354e-06,5.554337898222354e-06,0.06534515174379239
530,0.012119576501237374,6.467199478964651e-11,0.030433879901010114,0.06157006433588037,1.5808906290033802e-10,0.014878970625914166,0.07415643247842121,1.4340647866839427e-10,0.011247566954383864,5.661152088572784e-06,5.661152088572784e-06,0.06660178927732686
540,0.012112467037420626,6.588060363849389e-11,0.031002637006350062,0.0615524148124662,1.6108948188074683e-10,0.015161363000540877,0.07414019270133945,1.46167240772292e-10,0.011464097315473881,5.767966278923213e-06,5.767966278923213e-06,0.06785842681086132
550,0.012105360124593139,6.70887788191665e-11,0.031571190032548935,0.06153476304730593,1.640902819579926e-10,0.015443791243105187,0.07412393231615093,1.489315062543431e-10,0.011680902451321027,5.874780469273643e-06,5.874780469273643e-06,0.0691150643443958
