Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.009987835519113029,2.0679617507853654e-06,0.0012164480886972737,0.04994858676268336,8.7402503438302e-06,0.0010282647463329647,0.05995759111746862,7.209510030334973e-06,0.0007068147088563699,1.809154451715205e-07,1.809154451715205e-07,0.002128417002017888
20,0.009975686237837005,4.133339567709496e-06,0.002431376216299703,0.049897231249691226,1.7470687552492754e-05,0.002055375006175618,0.05991521625163322,1.4413237222352966e-05,0.0014130624727797026,3.61830890343041e-07,3.61830890343041e-07,0.004256834004035776
30,0.009963552966960514,6.1959956167128975e-06,0.0036447033039487624,0.04984592571961922,2.619262766473419e-05,0.0030814856076157864,0.059872868956593474,2.16122773791103e-05,0.002118850723442186,5.427463355145616e-07,5.427463355145616e-07,0.006385251006053665
40,0.00995143569274826,8.255932232796093e-06,0.004856430725174172,0.049794670168932416,3.490607128148991e-05,0.004106596621351753,0.059830549214597364,2.880663351844913e-05,0.002824179756710699,7.236617806860819e-07,7.236617806860819e-07,0.00851366800807155
50,0.009939334389686381,1.0313153753315578e-05,0.006066561031362104,0.04974346459296362,4.361101919618671e-05,0.005130708140727847,0.05978825711510624,3.59962904319402e-05,0.0035290480815627647,9.045772258576024e-07,9.045772258576024e-07,0.010642085010089439
60,0.009927249042980089,1.2367662693385094e-05,0.00727509570199123,0.04969230898696748,5.230747221552992e-05,0.0061538202606505775,0.05974599267188993,4.318124577871305e-05,0.004233455468501279,1.085492671029123e-06,1.085492671029123e-06,0.012770502012107327
70,0.009915179637992596,1.441946154125884e-05,0.008482036200740494,0.04964120334620175,6.0995431145703945e-05,0.007175933075965169,0.059703755897519376,5.036149742170676e-05,0.004937401708010466,1.2664081162006435e-06,1.2664081162006435e-06,0.014898919014125217
80,0.009903126160087114,1.6468552785191013e-05,0.00968738399128883,0.049590147665924164,6.967489679289317e-05,0.008197046681516842,0.059661546804565535,5.753704322386045e-05,0.005640886590574554,1.447323561372164e-06,1.447323561372164e-06,0.017027336016143105
90,0.00989108859462685,1.8514938913435816e-05,0.010891140537315184,0.049539141941392466,7.8345869963282e-05,0.009217161172150823,0.05961936540559934,6.470788104811321e-05,0.006343909906677765,1.6282390065436846e-06,1.6282390065436846e-06,0.019155753018160995
100,0.009879066926975016,2.0558622414247443e-05,0.012093307302498494,0.04948818616786439,8.70083514630548e-05,0.010236276642712329,0.05957721171319175,7.187400875740414e-05,0.007046471446804327,1.809154451715205e-06,1.809154451715205e-06,0.02128417002017888
