L,shear_rate,J_pred_10,J_pred_180,J_pred_300,J_flux,yield,phi_w_10,phi_w_180,phi_w_300
0.2,33500.0,1.1577240430434789e-05,9.675581345314188e-06,1.1577282233427292e-05,9.675581345314188e-06,0.7911785590601688,0.27852853605125044,0.42102834783202225,0.1763717244291689
0.2,34000.0,1.1750036570424778e-05,9.749148887517782e-06,1.1750077490642623e-05,9.749148887517782e-06,0.8461914205701726,0.2809853961237019,0.4146060852171243,0.17500439122490136
0.2,34500.0,1.1922822671636878e-05,9.819260751644938e-06,1.1922872747857958e-05,9.819260751644938e-06,0.8853098317143907,0.2831542540868217,0.4081620224559521,0.17362181789758233
0.2,35000.0,1.2095621529602245e-05,9.885847108684925e-06,1.209566800507329e-05,9.885847108684925e-06,0.9125377645028818,0.2850171748520754,0.4016993880009288,0.17222644739369197
0.2,35500.0,1.2268419519358746e-05,9.948862439612622e-06,1.2268463262288624e-05,9.948862439612622e-06,0.9312970080361619,0.2865773958406841,0.39522346149515375,0.17081749759146259
0.2,36000.0,1.0355808785415441e-05,1.0357488668805168e-05,1.0355942294295746e-05,1.0355808785415441e-05,,0.32343814074539534,0.4174348066410437,0.175610932752789
0.2,36500.0,1.0450865167618357e-05,1.0449522642066606e-05,1.0449569533555819e-05,1.0449522642066606e-05,,0.3284488752875131,0.4132277906735833,0.17471154495565372
0.2,37000.0,1.0544406132557078e-05,1.0544422526438592e-05,1.0544439258341913e-05,1.0544406132557078e-05,,0.3336653070085149,0.40927213348427355,0.17386215853804776
0.2,37500.0,1.0633621907004596e-05,1.0633636553170126e-05,1.0639340214255696e-05,1.0633621907004596e-05,,0.3383308482985223,0.40500525595566794,0.17294149910871165
0.2,38000.0,1.0722402475286978e-05,1.072239023069656e-05,1.0732183947087508e-05,1.072239023069656e-05,,0.34301765054783173,0.4008568650523561,0.1720430055400223
0.2,38500.0,1.0815349347608947e-05,1.0815349410438865e-05,1.0816788192000838e-05,1.0815349347608947e-05,,0.34825088238774266,0.39717836038157023,0.17124251600760657
0.2,39000.0,1.0904151058013135e-05,1.0904167794523851e-05,1.0904168966082812e-05,1.0904151058013135e-05,,0.3530858204506718,0.3933163509723033,0.17039830025170283
0.2,39500.0,1.09900743434156e-05,1.0990066406103259e-05,1.0992752767990712e-05,1.0990066406103259e-05,,0.35765769162019073,0.3893772762330831,0.16953223676066537
0.2,40000.0,1.1076633440572993e-05,1.1077256596809253e-05,1.1076737672102144e-05,1.1076633440572993e-05,,0.3623689250432149,0.38562294779311757,0.1687046078212172
0.2,40500.0,1.1161800424245236e-05,1.1162048570641759e-05,1.1161828215474596e-05,1.1161800424245236e-05,,0.3669836357083492,0.3818951798076284,0.1678770686950411
0.2,41000.0,1.1245806322373621e-05,1.1245819944658435e-05,1.1245814958993093e-05,1.1245806322373621e-05,,0.3715250380969032,0.37821897459477594,0.16705624800265975
0.2,41500.0,1.1320957175166682e-05,1.1330370066066778e-05,1.13209869788357e-05,1.1320957175166682e-05,,0.3750651104315644,0.3740723264835671,0.16612777990782904
0.2,42000.0,1.1409140643915214e-05,1.1409151646199557e-05,1.1412000679280114e-05,1.1409140643915214e-05,,0.3802312047834462,0.37091908951082686,0.16541617274944143
0.2,42500.0,1.149101744579394e-05,1.1491051820147307e-05,1.1491048038417745e-05,1.149101744579394e-05,,0.38469937157574474,0.3674634749465591,0.1646344739400726
0.2,43000.0,1.1570785930255669e-05,1.1570817138508856e-05,1.1570864998067576e-05,1.1570785930255669e-05,,0.388968494632646,0.3639862214282215,0.16384552963361293
0.2,43500.0,1.164916234033892e-05,1.1649179804754612e-05,1.1650262153664135e-05,1.164916234033892e-05,,0.3931220522839475,0.3605348701442136,0.16305564673571757
0.2,44000.0,1.1727467706973465e-05,1.1727465349364707e-05,1.1727535250388631e-05,1.1727465349364707e-05,,0.3973210297056507,0.3571888249656074,0.1622901491425202
0.2,44500.0,1.180441394822487e-05,1.1804419221189664e-05,1.1804485950327058e-05,1.180441394822487e-05,,0.40140529532935115,0.35386970663611106,0.16152519303856328
0.2,45000.0,1.1879995395574874e-05,1.1880617769598163e-05,1.1880062045668016e-05,1.1879995395574874e-05,,0.40536947201010154,0.35057690268346886,0.16076231800329618
0.2,45500.0,1.1948309565098227e-05,1.1957995910577136e-05,1.1948364210369762e-05,1.1948309565098227e-05,,0.40846183901527633,0.34697284142771795,0.1599245584014411
0.2,46000.0,1.2029069439862148e-05,1.2030240234360862e-05,1.2029148344599994e-05,1.2029069439862148e-05,,0.4131835714882163,0.34417152171333965,0.15927028373269664
0.2,46500.0,1.2103421581314874e-05,1.2103407472877325e-05,1.2103449951245978e-05,1.2103407472877325e-05,,0.41714080599238285,0.34110652561816207,0.158549262271926
0.2,47000.0,1.2176046434666374e-05,1.217607544571823e-05,1.2176117952932576e-05,1.2176046434666374e-05,,0.42092482213274596,0.33804315805501667,0.15782597078184996
0.2,47500.0,1.2246528621894909e-05,1.2248418505723054e-05,1.2246654788826198e-05,1.2246528621894909e-05,,0.42447705015277004,0.33495629120598214,0.1570976846526548
0.2,48000.0,1.2317149805031831e-05,1.2319662672799831e-05,1.2317183834623357e-05,1.2317149805031831e-05,,0.4280916186177005,0.33196755255498306,0.15638588276181012
0.2,48500.0,1.2385369633073131e-05,1.2390754487167118e-05,1.238542787871247e-05,1.2385369633073131e-05,,0.43143559078347415,0.3289471142849504,0.15566467675439064
0.2,49000.0,1.2458778922538511e-05,1.2458819618605506e-05,1.2458817760100102e-05,1.2458778922538511e-05,,0.4355050951307654,0.3262731586980367,0.15502190783940853
0.2,49500.0,1.2527568297536865e-05,1.2527588949150481e-05,1.252766420689326e-05,1.2527568297536865e-05,,0.439010546940477,0.32344763175070834,0.15434196766099156
0.2,50000.0,1.2595642453920525e-05,1.259563793170165e-05,1.2595719977813112e-05,1.259563793170165e-05,,0.4424637015948983,0.3206683503577027,0.1536693457141393
0.2,50500.0,1.2662991003701577e-05,1.2663015941620308e-05,1.2663005683362972e-05,1.2662991003701577e-05,,0.445859796204673,0.317935962621303,0.15300437343212253
0.2,51000.0,1.2729658617325977e-05,1.2729661222453906e-05,1.2729698492753476e-05,1.2729658617325977e-05,,0.44920567360969293,0.31524625546515406,0.1523484870327929
0.2,51500.0,1.2795632159097208e-05,1.2795635706458152e-05,1.2795692701321842e-05,1.2795632159097208e-05,,0.4524976997177607,0.31260047585682926,0.15170051198017606
0.2,52000.0,1.2860940100857001e-05,1.2860991311910277e-05,1.2861082288915546e-05,1.2860940100857001e-05,,0.4557385684570091,0.3100009267228203,0.15106094259845804
0.2,52500.0,1.2924608933175168e-05,1.2926085575415916e-05,1.2924717946903105e-05,1.2924608933175168e-05,,0.4587949522129425,0.3073965128279977,0.15041764194905768
0.2,53000.0,1.298964670930973e-05,1.2989640960897152e-05,1.298976123234598e-05,1.2989640960897152e-05,,0.4620743336656386,0.30492239800719173,0.1498036530501035
0.2,53500.0,1.3050011945476377e-05,1.3050036269598241e-05,1.3058972023010729e-05,1.3050011945476377e-05,,0.46475247891351973,0.3023204951448452,0.14915303576090005
0.2,54000.0,1.311582722586591e-05,1.3115783387665497e-05,1.31159022632623e-05,1.3115783387665497e-05,,0.4682078217428385,0.30000761995940645,0.14857673470560243
0.2,54500.0,1.3176906071485687e-05,1.3178596533759799e-05,1.3177138668483667e-05,1.3176906071485687e-05,,0.47105692419276163,0.2975689605413036,0.1479653890562574
0.2,55000.0,1.3239642557271478e-05,1.3239638582313528e-05,1.3239689995599038e-05,1.3239638582313528e-05,,0.47416624081597564,0.2952559305427375,0.14738046831224552
0.2,55500.0,1.3300312502094026e-05,1.3300835188942048e-05,1.3300511360369525e-05,1.3300312502094026e-05,,0.4770217611883987,0.2929222100445246,0.1467915841897224
0.2,56000.0,1.336111935550368e-05,1.3361152581169866e-05,1.336119533249616e-05,1.336111935550368e-05,,0.47993087993272565,0.2906554532268978,0.1462139185549268
0.2,56500.0,1.34165339467991e-05,1.3423549027418907e-05,1.3416700507779142e-05,1.34165339467991e-05,,0.4821217690324181,0.2882392797457748,0.14559893494033682
0.2,57000.0,1.3480362807195671e-05,1.3480204948750602e-05,1.3480381093888529e-05,1.3480204948750602e-05,,0.48549462743692695,0.2861934092049662,0.1450744875307499
0.2,57500.0,1.3539239513584717e-05,1.3539262249480118e-05,1.3539330691519592e-05,1.3539239513584717e-05,,0.4882545790616842,0.28402820273515816,0.14451742674725393
0.2,58000.0,1.3597549573771857e-05,1.3597593996065578e-05,1.3597575042302128e-05,1.3597549573771857e-05,,0.4909434765399866,0.2818902154932941,0.1439647516050415
0.2,58500.0,1.3653079138782666e-05,1.365674624360024e-05,1.3653158254684483e-05,1.3653079138782666e-05,,0.4932715170587967,0.2797054017717793,0.1433999921948615
0.2,59000.0,1.3712670095416325e-05,1.3712698049681392e-05,1.3712769417685438e-05,1.3712670095416325e-05,,0.4962020276948018,0.2777153622252369,0.14288290461852865
0.2,59500.0,1.3769489462741039e-05,1.3769503314249121e-05,1.3769536237036596e-05,1.3769489462741039e-05,,0.4987716521907623,0.2756775004355623,0.1423510223000068
0.2,60000.0,1.3825828693801076e-05,1.3825808928839519e-05,1.382588744266452e-05,1.3825808928839519e-05,,0.5013020735982624,0.2736714103403929,0.14182621726915084
0.2,60500.0,1.3881201538257479e-05,1.388125163048172e-05,1.3882748914865102e-05,1.3881201538257479e-05,,0.5037252208511707,0.27168419054737275,0.14130311846309435
0.2,61000.0,1.3937076198507494e-05,1.3937086050614306e-05,1.3937249906167714e-05,1.3937076198507494e-05,,0.5062476640967583,0.26975603407357923,0.1407964911324416
0.2,61500.0,1.3991971125859717e-05,1.3991975874353579e-05,1.3992154410350189e-05,1.3991971125859717e-05,,0.5086586552147488,0.2678424535057879,0.14028791771790436
0.2,62000.0,1.4046525377844242e-05,1.4046511975542298e-05,1.4046537313223093e-05,1.4046511975542298e-05,,0.5110483712171922,0.26596186829056073,0.13978961224689015
0.2,62500.0,1.4098593808777135e-05,1.4098617580974597e-05,1.4105211324350773e-05,1.4098593808777135e-05,,0.5131097167689068,0.2640485479862,0.1392788979907778
0.2,63000.0,1.4154195464756533e-05,1.4154208300847659e-05,1.415433285115069e-05,1.4154195464756533e-05,,0.5157041683573785,0.2622846253422071,0.13880927718846603
