L,shear_rate,J_pred_10,J_pred_180,J_pred_300,J_flux,yield,phi_w_10,phi_w_180,phi_w_300
0.5,20000.0,4.845149999357874e-06,4.845138920333491e-06,4.845149433451379e-06,4.845138920333491e-06,0.3870272839487622,0.1466265778689845,0.5654162576000438,0.2047539856735732
0.5,20500.0,4.949566910978901e-06,4.9479156437714045e-06,4.947879477709272e-06,4.947879477709272e-06,0.36560287839119365,0.15176776994988442,0.5603617741561805,0.20382610004276616
0.5,21000.0,5.053640234240122e-06,5.053640058441106e-06,5.0536669196706785e-06,5.053640058441106e-06,0.31540800160961013,0.157315750918442,0.556389339468718,0.20309495940972802
0.5,21500.0,5.156205877165324e-06,5.156192382127537e-06,5.156230262686918e-06,5.156192382127537e-06,0.27966357939959285,0.16274997499631438,0.5518034509642636,0.20224657426424683
0.5,22000.0,5.25760706752535e-06,5.257613568369933e-06,5.2576251088993706e-06,5.25760706752535e-06,0.2444808269150982,0.16823511627585708,0.5471791261487571,0.20138590220308658
0.5,22500.0,5.357843449782599e-06,5.357773090932551e-06,5.3577856460634025e-06,5.357773090932551e-06,0.2108275574504469,0.173761376672071,0.5424926572549129,0.2005114466930491
0.5,23000.0,5.45695971411354e-06,5.456955365582895e-06,5.456976364063333e-06,5.456955365582895e-06,0.17751447243967655,0.17934313572592414,0.5378182939239547,0.1996339599823538
0.5,23500.0,5.554897634083561e-06,5.5548910633818e-06,5.554907697336069e-06,5.5548910633818e-06,0.1464335522015635,0.18495637385921845,0.5330973786116537,0.1987463481832021
0.5,24000.0,5.651629327153725e-06,5.651599927208443e-06,5.651604991014589e-06,5.651599927208443e-06,0.11789591053474202,0.19059397847846174,0.5283415801965704,0.19784695422951237
0.5,24500.0,5.747102003808462e-06,5.746754158859626e-06,5.746797759401997e-06,5.746754158859626e-06,0.09352803601125614,0.19622355543298775,0.5234870771166763,0.1969260887779693
0.5,25000.0,5.841610313470165e-06,5.841606761133718e-06,5.8416130787919634e-06,5.841606761133718e-06,0.06814770322826247,0.20196134529741758,0.5188060474734979,0.1960310344332821
0.5,25500.0,5.93481950969658e-06,5.9348209256849954e-06,5.934822756226294e-06,5.93481950969658e-06,0.04801432316978649,0.2076682957470216,0.5140177987707355,0.19511324002572006
0.5,26000.0,6.026796418099246e-06,6.026805296063619e-06,6.0268975021164275e-06,6.026796418099246e-06,0.03142063789756422,0.21338086701523493,0.5092127028194575,0.1941877626789929
0.5,26500.0,6.117707292123931e-06,6.117700488182277e-06,6.117736939074119e-06,6.117700488182277e-06,0.018065180213321375,0.21911140314781957,0.50442502116953,0.19326363152323245
0.5,27000.0,6.207129642140344e-06,6.207107575208295e-06,6.207627103678749e-06,6.207107575208295e-06,0.008853943268363196,0.22480858408563742,0.4995810784062308,0.19232009051555413
0.5,27500.0,6.295545522629808e-06,6.2958839366468895e-06,6.295541811615155e-06,6.295541811615155e-06,0.002758771042914554,0.23051992763443777,0.4947819029306375,0.19138380747274195
0.5,28000.0,7.1297124539714145e-06,6.376889545082139e-06,7.129731508445878e-06,6.376889545082139e-06,0.0031595146002386665,0.23553238295027082,0.48895741867061454,0.19023991220541106
0.5,28500.0,7.2570155297311885e-06,6.456242425055792e-06,7.25704814252527e-06,6.456242425055792e-06,0.0042633070187100275,0.24041266577015047,0.48306355399514606,0.18907693807909
0.5,29000.0,7.384332683494991e-06,6.533536458659355e-06,7.384364776604658e-06,6.533536458659355e-06,0.0064571074256966066,0.2451370842254999,0.47710109496018,0.1878903456804508
0.5,29500.0,7.511648866064936e-06,6.608729764345959e-06,7.51168141068405e-06,6.608729764345959e-06,0.010250506380222624,0.2496962531729266,0.47107466932541275,0.18668662353221052
0.5,30000.0,7.638975193204725e-06,6.681769700016315e-06,7.63899804476344e-06,6.681769700016315e-06,0.016408557196796236,0.2540762587489619,0.46498720033630886,0.18546363708829863
0.5,30500.0,7.76627983037367e-06,6.7526239444236045e-06,7.766314678842831e-06,6.7526239444236045e-06,0.025903926249375542,0.25826156117085347,0.4588448313508935,0.18421926528453536
0.5,31000.0,7.893607770466476e-06,6.821224487626745e-06,7.893631312922221e-06,6.821224487626745e-06,0.039917862876371446,0.2622357208442311,0.45264827084109216,0.1829540420769062
0.5,31500.0,8.020919042512941e-06,6.887544680908141e-06,8.020947947001612e-06,6.887544680908141e-06,0.059554986675748434,0.2659912364284216,0.4464045030674756,0.18167355253989406
0.5,32000.0,8.14822921688194e-06,6.951531541311898e-06,8.148264581081003e-06,6.951531541311898e-06,0.0860859136286074,0.2695092159851874,0.4401165664783986,0.18037554612236878
0.5,32500.0,8.275544780163282e-06,7.01313662541097e-06,8.275581215160393e-06,7.01313662541097e-06,0.12051800975764115,0.27278063574986633,0.43378823135437156,0.17905507471038673
0.5,33000.0,8.402874303247364e-06,7.072310472857604e-06,8.402897849239784e-06,7.072310472857604e-06,0.16339825528977203,0.27579024447040656,0.42742317461882556,0.17772183373022324
