shear_rate,J_pred_10,J_pred_180,J_pred_300
33000.0,1.0513198716709116e-05,9.962702016690788e-06,1.8278928548324365e-05
33500.0,1.056602974818699e-05,1.0113652047246708e-05,1.8555882011177766e-05
34000.0,1.0618337678671225e-05,1.026460207780263e-05,1.8832835474031167e-05
34500.0,1.0670135267542386e-05,1.0415552108358551e-05,1.9109788936884564e-05
35000.0,1.0721434783393214e-05,1.0566502138914472e-05,1.9386742399737965e-05
35500.0,1.0772248029617472e-05,1.0717452169470394e-05,1.9663695862591366e-05
36000.0,1.082258636832455e-05,1.0868402200026315e-05,1.9940649325444764e-05
36500.0,1.0872460742710979e-05,1.1019352230582237e-05,2.0217602788298165e-05
37000.0,1.0921881698008167e-05,1.1170302261138156e-05,2.0494556251151566e-05
37500.0,1.0970859401114844e-05,1.1321252291694076e-05,2.0771509714004963e-05
38000.0,1.1019403659013202e-05,1.1472202322249997e-05,2.1048463176858364e-05
38500.0,1.1067523936059058e-05,1.1623152352805919e-05,2.1325416639711765e-05
39000.0,1.11152293702285e-05,1.177410238336184e-05,2.1602370102565163e-05
39500.0,1.1162528788396563e-05,1.1925052413917762e-05,2.1879323565418564e-05
40000.0,1.1209430720717055e-05,1.2076002444473683e-05,2.2156277028271958e-05
40500.0,1.1255943414166976e-05,1.2226952475029603e-05,2.243323049112536e-05
41000.0,1.1302074845313703e-05,1.2377902505585524e-05,2.271018395397876e-05
41500.0,1.134783273235846e-05,1.2528852536141445e-05,2.2987137416832157e-05
42000.0,1.1393224546505312e-05,1.2679802566697367e-05,2.3264090879685558e-05
42500.0,1.1438257522700955e-05,1.2830752597253288e-05,2.354104434253896e-05
43000.0,1.1482938669787156e-05,1.298170262780921e-05,2.3817997805392357e-05
43500.0,1.1527274780104333e-05,1.3132652658365131e-05,2.4094951268245758e-05
44000.0,1.157127243858195e-05,1.328360268892105e-05,2.437190473109916e-05
44500.0,1.16149380313486e-05,1.343455271947697e-05,2.4648858193952556e-05
45000.0,1.1658277753892295e-05,1.3585502750032892e-05,2.4925811656805957e-05
45500.0,1.1701297618799143e-05,1.3736452780588813e-05,2.5202765119659358e-05
46000.0,1.1744003463096588e-05,1.3887402811144735e-05,2.5479718582512756e-05
46500.0,1.1786400955225487e-05,1.4038352841700656e-05,2.5756672045366157e-05
47000.0,1.1828495601663564e-05,1.4189302872256576e-05,2.6033625508219554e-05
47500.0,1.1870292753221157e-05,1.4340252902812497e-05,2.6310578971072955e-05
48000.0,1.1911797611028789e-05,1.4491202933368418e-05,2.6587532433926356e-05
48500.0,1.1953015232234642e-05,1.464215296392434e-05,2.686448589677975e-05
49000.0,1.1993950535428844e-05,1.4793102994480261e-05,2.714143935963315e-05
49500.0,1.2034608305810336e-05,1.4944053025036183e-05,2.7418392822486552e-05
50000.0,1.207499320011096e-05,1.5095003055592104e-05,2.769534628533995e-05
50500.0,1.2115109751290528e-05,1.5245953086148024e-05,2.797229974819335e-05
51000.0,1.2154962373015637e-05,1.5396903116703945e-05,2.824925321104675e-05
51500.0,1.2194555363934227e-05,1.5547853147259865e-05,2.852620667390015e-05
52000.0,1.2233892911757116e-05,1.5698803177815788e-05,2.880316013675355e-05
52500.0,1.2272979097156909e-05,1.5849753208371708e-05,2.908011359960695e-05
53000.0,1.2311817897494208e-05,1.600070323892763e-05,2.935706706246035e-05
53500.0,1.2350413190380247e-05,1.615165326948355e-05,2.963402052531375e-05
54000.0,1.2388768757084653e-05,1.630260330003947e-05,2.9910973988167147e-05
54500.0,1.242688828579636e-05,1.645355333059539e-05,3.0187927451020548e-05
55000.0,1.246477537474539e-05,1.6604503361151313e-05,3.046488091387395e-05
