shear_rate,J_pred_10,J_pred_180,J_pred_300,J_flux,yield,phi_w_10,phi_w_180,phi_w_300
20000.0,8.285089956942577e-06,8.28507101207737e-06,8.285088989256086e-06,8.28507101207737e-06,0.9692721458549406,0.14662657786898445,0.5654162576000434,0.20475398567357342
20500.0,8.463640364240802e-06,8.460816737034463e-06,8.460754893938131e-06,8.460754893938131e-06,0.9688799129509423,0.1517677699498853,0.5603617741561834,0.20382610004276674
21000.0,8.641603243708198e-06,8.641602943096108e-06,8.641648875152573e-06,8.641602943096108e-06,0.9665530514732783,0.15731575091844205,0.556389339468718,0.203094959409728
21500.0,8.816988026065722e-06,8.816964949875707e-06,8.817029724721096e-06,8.816964949875707e-06,0.9646481981046704,0.16274997499631433,0.5518034509642636,0.20224657426424675
22000.0,8.990381622545753e-06,8.990392738833622e-06,8.99041247286137e-06,8.990381622545753e-06,0.9622007294548472,0.1682351162758571,0.5471791261487573,0.20138590220308647
22500.0,9.161783425187535e-06,9.1616631132463e-06,9.161684582218061e-06,9.1616631132463e-06,0.9590709639519274,0.1737613766720698,0.5424926572549098,0.20051144669304855
23000.0,9.331269853117895e-06,9.331262417235087e-06,9.331298324131565e-06,9.331262417235087e-06,0.9546767677598978,0.17934313572592372,0.5378182939239542,0.19963395998235375
23500.0,9.498741340534182e-06,9.498730104792217e-06,9.498758548453916e-06,9.498730104792217e-06,0.948656180880755,0.18495637385921848,0.5330973786116537,0.1987463481832021
24000.0,9.664150208965474e-06,9.664099935766213e-06,9.664108594752922e-06,9.664099935766213e-06,0.9401229237685089,0.19059397847846204,0.5283415801965707,0.1978469542295126
24500.0,9.827406189609916e-06,9.82681138311424e-06,9.826885938992956e-06,9.82681138311424e-06,0.9285518833778748,0.19622355543298803,0.5234870771166765,0.19692608877796933
25000.0,9.989013125892499e-06,9.989007051482621e-06,9.989017854526263e-06,9.989007051482621e-06,0.9063431688152388,0.2019613452974175,0.5188060474734977,0.1960310344332821
