L,shear_rate,J_pred_10,J_pred_180,J_pred_300,J_flux,yield,phi_w_10,phi_w_180,phi_w_300
0.4,20000.0,5.219279618512282e-06,5.219267683995051e-06,5.219279008907989e-06,5.219267683995051e-06,0.4846421249055046,0.14662657786898453,0.5654162576000438,0.20475398567357317
0.4,20500.0,5.331759326823447e-06,5.329980553146279e-06,5.329941594436849e-06,5.329941594436849e-06,0.4626632731074074,0.1517677699498846,0.5603617741561813,0.2038261000427663
0.4,21000.0,5.443868915793886e-06,5.443868726420138e-06,5.44389766180254e-06,5.443868726420138e-06,0.4076162490886842,0.15731575091844202,0.556389339468718,0.20309495940972802
0.4,21500.0,5.5543544053556245e-06,5.554339868266849e-06,5.554380673862454e-06,5.554339868266849e-06,0.36726672588143994,0.16274997499631438,0.5518034509642636,0.2022465742642468
0.4,22000.0,5.663585526416709e-06,5.66359252923925e-06,5.663604960897729e-06,5.663585526416709e-06,0.32625345394404104,0.16823511627585702,0.5471791261487573,0.20138590220308655
0.4,22500.0,5.771561895985863e-06,5.7714861042122064e-06,5.771499628816928e-06,5.7714861042122064e-06,0.28578804234044297,0.17376137667206984,0.54249265725491,0.20051144669304857
0.4,23000.0,5.878331655096338e-06,5.878326970783703e-06,5.878349590711053e-06,5.878326970783703e-06,0.24444700739767622,0.179343135725924,0.5378182939239545,0.19963395998235375
0.4,23500.0,5.983832081222831e-06,5.983825003148925e-06,5.983842921532979e-06,5.983825003148925e-06,0.20471368411277346,0.18495637385921843,0.5330973786116538,0.19874634818320208
0.4,24000.0,6.088033138810769e-06,6.08800146867977e-06,6.088006923499582e-06,6.08800146867977e-06,0.16719497117900461,0.19059397847846177,0.5283415801965706,0.1978469542295125
0.4,24500.0,6.1908779620783495e-06,6.1905032574660855e-06,6.19055022472658e-06,6.1905032574660855e-06,0.13435955920533982,0.19622355543298756,0.5234870771166755,0.19692608877796913
0.4,25000.0,6.2926839524940745e-06,6.292680125855639e-06,6.29268693134668e-06,6.292680125855639e-06,0.09922319057764872,0.20196134529741755,0.5188060474734981,0.19603103443328213
0.4,25500.0,6.393090515384164e-06,6.393092040711445e-06,6.393094012602282e-06,6.393090515384164e-06,0.07072166966455185,0.2076682957470216,0.5140177987707356,0.19511324002572006
0.4,26000.0,6.492169636456455e-06,6.49217919995367e-06,6.492278525913068e-06,6.492169636456455e-06,0.046759257371214225,0.21338086701523457,0.5092127028194572,0.19418776267899285
0.4,26500.0,6.590100406806409e-06,6.590093077482443e-06,6.590132343015377e-06,6.590093077482443e-06,0.02713023633222844,0.21911140314781935,0.5044250211695299,0.19326363152323242
0.4,27000.0,6.686427713276174e-06,6.686403942394221e-06,6.686963587473819e-06,6.686403942394221e-06,0.013397289518744526,0.22480858408563764,0.49958107840623084,0.1923200905155542
0.4,27500.0,6.781670833314279e-06,6.782035378763277e-06,6.781666835744928e-06,6.781666835744928e-06,0.004200870376580901,0.23051992763443765,0.49478190293063695,0.1913838074727419
0.4,28000.0,7.680249920394182e-06,6.869296025213298e-06,7.680270446204573e-06,6.869296025213298e-06,0.004827737780655927,0.23553238295027076,0.48895741867061454,0.19023991220541106
