shear_rate,J_pred_10,J_pred_180,J_pred_300,J_flux,yield,phi_w_10,phi_w_180,phi_w_300
20000.0,5.74456053065535e-06,5.744547395019467e-06,5.7445598596990125e-06,5.744547395019467e-06,0.6344987444650333,0.14662657786898442,0.5654162576000433,0.20475398567357322
20500.0,5.868360468595474e-06,5.866402674837403e-06,5.8663597952293175e-06,5.8663597952293175e-06,0.6150408031977195,0.15176776994988567,0.560361774156185,0.2038261000427669
21000.0,5.991753037490094e-06,5.9917528290573135e-06,5.991784676566518e-06,5.9917528290573135e-06,0.5605944008184154,0.15731575091844205,0.5563893394687182,0.203094959409728
21500.0,6.1133580536872164e-06,6.1133420535507005e-06,6.113386965920047e-06,6.1133420535507005e-06,0.5185976975985551,0.16274997499631433,0.5518034509642636,0.20224657426424678
22000.0,6.2335824587068494e-06,6.233590166310373e-06,6.233603849120999e-06,6.2335824587068494e-06,0.4734141336881619,0.16823511627585705,0.5471791261487572,0.20138590220308644
22500.0,6.352425831012541e-06,6.352342411371609e-06,6.3523572971252295e-06,6.352342411371609e-06,0.4262429937900146,0.1737613766720658,0.5424926572549004,0.20051144669304663
23000.0,6.469941156667483e-06,6.469936000914304e-06,6.469960897365801e-06,6.469936000914304e-06,0.3751263149827767,0.17934313572592375,0.5378182939239544,0.1996339599823537
23500.0,6.586059400599837e-06,6.586051610171469e-06,6.586071331904992e-06,6.586051610171469e-06,0.323104582059485,0.18495637385921834,0.5330973786116538,0.19874634818320203
24000.0,6.700747504404253e-06,6.700712646914745e-06,6.7007186507208045e-06,6.700712646914745e-06,0.27119210331272636,0.1905939784784617,0.5283415801965704,0.1978469542295124
24500.0,6.813942879189249e-06,6.81353046339942e-06,6.813582157558495e-06,6.81353046339942e-06,0.22343877110692756,0.1962235554329887,0.5234870771166782,0.19692608877796958
25000.0,6.925994870474039e-06,6.925990658713466e-06,6.925998149125574e-06,6.925990658713466e-06,0.1694959115702419,0.20196134529741747,0.5188060474734978,0.19603103443328204
25500.0,7.036506592465586e-06,7.036508271305491e-06,7.036510441652188e-06,7.036506592465586e-06,0.12364038722056625,0.20766829574702145,0.5140177987707358,0.19511324002571992
31500.0,9.509851079390372e-06,8.166087186632774e-06,9.509885349451116e-06,8.166087186632774e-06,0.16572104079304106,0.2659912364284218,0.44640450306747587,0.18167355253989412
32000.0,9.660793981659227e-06,8.241951998414592e-06,9.660835910553515e-06,8.241951998414592e-06,0.23172501369325027,0.26950921598518746,0.4401165664783986,0.18037554612236859
32500.0,9.811743273190154e-06,8.31499290213277e-06,9.811786471655914e-06,8.31499290213277e-06,0.31016015610567893,0.2727806357498662,0.43378823135437156,0.17905507471038665
33000.0,9.962709115897384e-06,8.385151256060718e-06,9.962737032758311e-06,8.385151256060718e-06,0.3972845471758989,0.2757902444704063,0.4274231746188254,0.17772183373022304
33500.0,1.0113651075583091e-05,8.452398848233432e-06,1.011368759386071e-05,8.452398848233432e-06,0.4877828191129495,0.27852853605125044,0.4210283478320223,0.17637172442916885
34000.0,1.0264602407860185e-05,8.516666015941156e-06,1.0264638154963108e-05,8.516666015941156e-06,0.5758412334347626,0.2809853961237019,0.41460608521712444,0.17500439122490125
34500.0,1.0415544970457024e-05,8.577914370788886e-06,1.0415588716065507e-05,8.577914370788886e-06,0.6562475900310093,0.28315425408682177,0.4081620224559523,0.17362181789758233
35000.0,1.0566498677104312e-05,8.636082911516974e-06,1.0566539277167906e-05,8.636082911516974e-06,0.7258518760491821,0.28501717485207534,0.40169938800092886,0.17222644739369194
35500.0,1.0717451625301293e-05,8.691131873594302e-06,1.0717489838270305e-05,8.691131873594302e-06,0.7831567513754051,0.28657739584068403,0.39522346149515364,0.1708174975914625
36000.0,9.046632251483447e-06,9.048099764795773e-06,9.046748882233155e-06,9.046632251483447e-06,,0.323438140745393,0.4174348066410417,0.17561093275278852
36500.0,9.129671650022893e-06,9.128498845924219e-06,9.12853980941342e-06,9.128498845924219e-06,,0.328448875286893,0.4132277906731237,0.1747115449555621
37000.0,9.211387209647492e-06,9.211401531022126e-06,9.211416147686005e-06,9.211387209647492e-06,,0.33366530700851466,0.40927213348427377,0.1738621585380477
37500.0,9.289324367351177e-06,9.289337161955265e-06,9.294319768857072e-06,9.289324367351177e-06,,0.3383308482985238,0.4050052559556694,0.17294149910871184
38000.0,9.366881337450813e-06,9.366870640815827e-06,9.37542624013219e-06,9.366870640815827e-06,,0.3430176505478288,0.40085686505235407,0.1720430055400218
38500.0,9.44807790936965e-06,9.44807796425664e-06,9.449334855722202e-06,9.44807790936965e-06,,0.3482508823877426,0.39717836038157023,0.17124251600760654
39000.0,9.525653348813921e-06,9.52566796950273e-06,9.525668992953748e-06,9.525653348813921e-06,,0.35308582045067183,0.3933163509723034,0.17039830025170286
39500.0,9.600714252407527e-06,9.600707318526528e-06,9.603054071792487e-06,9.600707318526528e-06,,0.35765769162019817,0.3893772762330879,0.16953223676066642
40000.0,9.67633058872937e-06,9.676874965843863e-06,9.676421643357045e-06,9.67633058872937e-06,,0.362368925043213,0.3856229477931199,0.1687046078212169
40500.0,9.75073080190597e-06,9.750947577750374e-06,9.750755079781037e-06,9.75073080190597e-06,,0.366983635708349,0.38189517980762877,0.16787706869504107
41000.0,9.824116713433556e-06,9.824128613595454e-06,9.824124258215607e-06,9.824116713433556e-06,,0.3715250380969031,0.3782189745947761,0.16705624800265972
41500.0,9.889767030340828e-06,9.897989947949116e-06,9.88979306624386e-06,9.889767030340828e-06,,0.3750651104314242,0.37407232648348554,0.16612777990781089
42000.0,9.966802385953252e-06,9.966811997333915e-06,9.969300856976482e-06,9.966802385953252e-06,,0.38023120478344646,0.37091908951082686,0.16541617274944145
42500.0,1.0038328360589586e-05,1.0038358389353177e-05,1.0038355085708117e-05,1.0038328360589586e-05,,0.3846993715757444,0.36746347494655895,0.16463447394007255
43000.0,1.0108012550316975e-05,1.0108039813237299e-05,1.0108081622412846e-05,1.0108012550316975e-05,,0.3889684946326459,0.36398622142822157,0.1638455296336129
43500.0,1.0176480651061865e-05,1.0176495907634244e-05,1.0177441426497629e-05,1.0176480651061865e-05,,0.3931220522839475,0.36053487014421354,0.16305564673571754
44000.0,1.0244886689637816e-05,1.0244884630076863e-05,1.0244945694245831e-05,1.0244884630076863e-05,,0.3973210297056506,0.3571888249656074,0.16229014914252018
44500.0,1.031210542282993e-05,1.0312110029188969e-05,1.0312168322459822e-05,1.031210542282993e-05,,0.401405295329351,0.3538697066361112,0.16152519303856325
45000.0,1.0378131898683568e-05,1.0378675592535276e-05,1.0378190122897887e-05,1.0378131898683568e-05,,0.40536947200318607,0.350576902680229,0.1607623180024887
45500.0,1.0437809822691705e-05,1.0446271624876726e-05,1.043785755973341e-05,1.0437809822691705e-05,,0.4084618390152811,0.34697284142772,0.1599245584014415
46000.0,1.0508360071620002e-05,1.050938285482228e-05,1.050842900125756e-05,1.0508360071620002e-05,,0.4131835714882182,0.34417152171334064,0.15927028373269686
46500.0,1.0573312649904411e-05,1.057330032504898e-05,1.0573337433321973e-05,1.057330032504898e-05,,0.4171408059923851,0.34110652561816296,0.15854926227192642
47000.0,1.0636756303046604e-05,1.0636781646534766e-05,1.0636818780006844e-05,1.0636756303046604e-05,,0.4209248221327453,0.3380431580550166,0.15782597078184984
47500.0,1.0698328164921339e-05,1.0699979130514228e-05,1.0698438381887808e-05,1.0698328164921339e-05,,0.4244770501527698,0.33495629120598214,0.15709768465265475
48000.0,1.0760021450906313e-05,1.0762216643098912e-05,1.0760051178492693e-05,1.0760021450906313e-05,,0.4280916186176994,0.33196755255498267,0.15638588276180998
48500.0,1.0819616959990855e-05,1.0824321063332838e-05,1.0819667842243534e-05,1.0819616959990855e-05,,0.43143559078347193,0.3289471142849494,0.1556646767543904
49000.0,1.0883745881197996e-05,1.0883781432487112e-05,1.0883779808933102e-05,1.0883745881197996e-05,,0.43550509513076546,0.3262731586980367,0.15502190783940853
49500.0,1.094383893537798e-05,1.0943856976224198e-05,1.094392271991811e-05,1.094383893537798e-05,,0.43901054694047703,0.32344763175070845,0.15434196766099156
50000.0,1.1003307188548148e-05,1.1003303238026084e-05,1.1003374911906261e-05,1.1003303238026084e-05,,0.4424637015948988,0.3206683503577028,0.15366934571413926
50500.0,1.1062141565965193e-05,1.1062163351243834e-05,1.1062154389830622e-05,1.1062141565965193e-05,,0.44585979620467286,0.317935962621303,0.15300437343212248
51000.0,1.1120381090858059e-05,1.1120383366646927e-05,1.112041592525255e-05,1.1120381090858059e-05,,0.4492056736096929,0.3152462554651542,0.15234848703279286
51500.0,1.1178014288138869e-05,1.117801738704409e-05,1.11780671766436e-05,1.1178014288138869e-05,,0.45249769971776055,0.31260047585682926,0.151700511980176
52000.0,1.1235066030252362e-05,1.1235110767228084e-05,1.1235190242962629e-05,1.1235066030252362e-05,,0.45573856845700905,0.31000092672282037,0.15106094259845798
52500.0,1.1290685878378075e-05,1.1291975844193006e-05,1.1290781110641194e-05,1.1290685878378075e-05,,0.4587949522129413,0.30739651282799724,0.15041764194905752
53000.0,1.1347501609079128e-05,1.1347496587378194e-05,1.1347601654166358e-05,1.1347496587378194e-05,,0.4620743336656383,0.30492239800719156,0.14980365305010346
53500.0,1.1400235500143494e-05,1.1400256749221177e-05,1.1408062848840061e-05,1.1400235500143494e-05,,0.4647524789135178,0.30232049514484477,0.14915303576089986
54000.0,1.1457730443372943e-05,1.145769214717745e-05,1.145779599457655e-05,1.145769214717745e-05,,0.46820782174283787,0.3000076199594064,0.14857673470560237
54500.0,1.1511087729715018e-05,1.1512564484534063e-05,1.1511290921908612e-05,1.1511087729715018e-05,,0.4710569241927608,0.2975689605413034,0.14796538905625728
55000.0,1.1565893098123696e-05,1.156588962567809e-05,1.1565934539319937e-05,1.156588962567809e-05,,0.47416624081597664,0.29525593054273774,0.14738046831224555
55500.0,1.1618893176717304e-05,1.1619349785736913e-05,1.1619066895422031e-05,1.1618893176717304e-05,,0.4770217611883986,0.2929222100445246,0.14679158418972238
56000.0,1.1672012855978063e-05,1.1672041881270973e-05,1.167207922799446e-05,1.1672012855978063e-05,,0.47993087993272554,0.2906554532268978,0.14621391855492677
56500.0,1.1720421960395093e-05,1.17265501977831e-05,1.1720567464813447e-05,1.1720421960395093e-05,,0.4821217690324187,0.2882392797457751,0.14559893494033688
57000.0,1.1776181605923913e-05,1.177604370387011e-05,1.1776197580821562e-05,1.177604370387011e-05,,0.48549462743692723,0.28619340920496633,0.14507448753074986
