shear_rate,J_pred_10,J_pred_180,J_pred_300,J_flux,yield,phi_w_10,phi_w_180,phi_w_300
20000.0,7.714428340724387e-06,7.679417662272792e-06,7.679443496767458e-06,7.679417662272792e-06,0.9356856605200746,0.10925640552490648,0.6399446402980832,0.154795560100267
20500.0,7.871582815500518e-06,7.890196456253986e-06,7.871628245059272e-06,7.871582815500518e-06,0.9098610693770288,0.11500417419370695,0.6399938272795659,0.15480156074911766
21000.0,8.063586373563241e-06,8.066317828485232e-06,8.063619177865595e-06,8.063586373563241e-06,0.8689377852092606,0.12099546310700922,0.6399938272795659,0.15480200857938828
21500.0,8.239745325535236e-06,8.239728699876763e-06,8.23980221527721e-06,8.239728699876763e-06,0.8466241414160227,0.1264597100814287,0.6360241872785275,0.15431612768411923
22000.0,8.411035345915727e-06,8.411397558295139e-06,8.411066294775924e-06,8.411035345915727e-06,0.8295265774346494,0.13188185122589433,0.6310844260256331,0.15370700879036553
22500.0,8.581597204384787e-06,8.581579061780633e-06,8.58164320013551e-06,8.581579061780633e-06,0.8071646434819035,0.13746271962568832,0.6262195931050007,0.15310482566439487
23000.0,8.749223323946057e-06,8.749184358870484e-06,8.751159684405428e-06,8.749184358870484e-06,0.7859373251559947,0.14308204346287323,0.6209316523172408,0.1524488494876143
23500.0,8.917025114461711e-06,8.917012386967184e-06,8.917617865319066e-06,8.917012386967184e-06,0.7535212042006625,0.1489079558586795,0.6159598762660106,0.15182999807362726
24000.0,9.082832298870286e-06,9.082800298948758e-06,9.082858836268775e-06,9.082800298948758e-06,0.7169464617356527,0.15481929503985267,0.6107940088114189,0.15118670190028874
24500.0,9.246621164261015e-06,9.246611048964116e-06,9.246641360775204e-06,9.246611048964116e-06,0.6759723642137254,0.16080918474110004,0.6054669463710936,0.15051749234995854
25000.0,9.408768038885354e-06,9.408701890479117e-06,9.40873035597771e-06,9.408701890479117e-06,0.6286300225501236,0.16689323136843318,0.6000479748309483,0.14983403491859842
25500.0,9.566882352279728e-06,9.566855688075378e-06,9.571282671980577e-06,9.566855688075378e-06,0.5907631509178555,0.17292678833215824,0.5941120905076972,0.14908075054946582
26000.0,9.727971777805402e-06,9.727966898957876e-06,9.727972344384615e-06,9.727966898957876e-06,0.5110866324525852,0.1793405911231066,0.589025410294641,0.14843402631317684
