Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
410,0.009562908252200235,4.370917477997665e-05,0.04370917477997649,0.04934231158635002,6.576884136499917e-05,0.013153768272999744,0.059381439932992885,6.185600670071164e-05,0.010309334450118501,5.034508536131148e-06,5.034508536131148e-06,0.10069017072262296,0.44967490108591046,0.13596191384498504,0.10978171321343186
420,0.009552398886386728,4.476011136132738e-05,0.04476011136132718,0.04932620222945297,6.737977705470385e-05,0.013475955410940599,0.059367128566113654,6.328714338863474e-05,0.010547857231439028,5.157301427256298e-06,5.157301427256298e-06,0.10314602854512595,0.4502142066953868,0.1369518791947754,0.10350421781373097
430,0.009541896866918418,4.581031330815839e-05,0.04581031330815821,0.04931008094976313,6.899190502368763e-05,0.013798381004737514,0.05935308063588753,6.469193641124716e-05,0.01078198940187447,5.280094318381448e-06,5.280094318381448e-06,0.10560188636762896,0.45003756523202154,0.13301284852480036,0.10784533039845276
440,0.009531402188518378,4.685978114816248e-05,0.04685978114816225,0.049293949495243634,7.060505047563759e-05,0.01412101009512734,0.05933926659802045,6.60733401979552e-05,0.01101222336632579,5.402887209506598e-06,5.402887209506598e-06,0.10805774419013195,0.4515070181125938,0.1342514669314967,0.10141362136848969
450,0.009520914840583376,4.79085159416627e-05,0.047908515941662455,0.04927780995451522,7.221900454847864e-05,0.014443800909695548,0.059325646510220695,6.743534897793065e-05,0.011239224829655003,5.525680100631748e-06,5.525680100631748e-06,0.11051360201263496,0.4522507723047523,0.13411047244801397,0.1088152503977542
460,0.009510434807183879,4.895651928161232e-05,0.048956519281612154,0.049261664756856276,7.383352431437353e-05,0.014766704862874569,0.059312170032198894,6.87829967801107e-05,0.011463832796685058,5.648472991756899e-06,5.648472991756899e-06,0.11296945983513797,0.45594419578020867,0.1370702890467203,0.10353511753199583
470,0.009499962067064053,5.000379329359485e-05,0.05000379329359472,0.04924551667220278,7.544833277972274e-05,0.015089666555944348,0.05929877642566802,7.012235743319802e-05,0.01168705957219962,5.771265882882049e-06,5.771265882882049e-06,0.11542531765764098,0.4568104904092843,0.14077303939285007,0.11378384157696607
480,0.009489496593641763,5.1050340635824026e-05,0.05105034063582381,0.04922936881114836,7.706311888516464e-05,0.015412623777032897,0.059285394554343396,7.146054456566072e-05,0.011910090760943404,5.894058774007198e-06,5.894058774007198e-06,0.11788117548014396,0.45760559048056226,0.14158399608384378,0.10699281973300336
490,0.009479038355008563,5.209616449914383e-05,0.05209616449914378,0.049213224624944256,7.867753750557541e-05,0.015735507501114965,0.05927194288394268,7.280571160573235e-05,0.012134285267622058,6.016851665132348e-06,6.016851665132348e-06,0.12033703330264696,0.4573317145148285,0.13554827101098257,0.11035065958946512
500,0.009468587313929718,5.3141268607028464e-05,0.05314126860702828,0.049197087905499315,8.029120945006898e-05,0.016058241890013703,0.05925832948218588,7.416705178141196e-05,0.01236117529690195,6.139644556257499e-06,6.139644556257499e-06,0.12279289112514997,0.45940392439347266,0.13756089518524411,0.10387922811648582
510,0.009458143427844179,5.418565721558237e-05,0.054185657215582106,0.049180962785380034,8.190372146199716e-05,0.01638074429239933,0.059244452018795364,7.555479812046398e-05,0.012592466353410603,6.262437447382649e-06,6.262437447382649e-06,0.12524874894765298,0.4604311937931753,0.13727951991981563,0.11184405607102751
520,0.0094477066488646,5.5229335113540225e-05,0.05522933511354011,0.04916485373781051,8.351462621894958e-05,0.016702925243789912,0.05923019776549582,7.698022345041834e-05,0.01283003724173637,6.3852303385078e-06,6.3852303385078e-06,0.127704606770156,0.4655472286049761,0.1409986689992277,0.106455712544563
530,0.009437276923777332,5.6272307622266947e-05,0.05627230762226676,0.04914876557667247,8.512344233275361e-05,0.017024688466550586,0.0592154435960143,7.845564039857039e-05,0.013075940066428315,6.50802322963295e-06,6.50802322963295e-06,0.130160464592659,0.4667502726632032,0.146763934161278,0.11891680007946515
540,0.00942685419446144,5.731458055385621e-05,0.057314580553855965,0.04913270332150214,8.672966784978763e-05,0.017345933569957284,0.059200058093740106,7.999419062598927e-05,0.013332365104331556,6.630816120758096e-06,6.630816120758096e-06,0.1326163224151619,0.4678802739003202,0.14821772695549465,0.11199246707458343
550,0.009416438473786792,5.835615262132112e-05,0.05835615262132077,0.049116652918753695,8.833470812463189e-05,0.017666941624926102,0.05918422162600891,8.157783739910902e-05,0.013596306233184863,6.753609011883247e-06,6.753609011883247e-06,0.13507218023766493,0.4675020658542245,0.1395924668028995,0.11420949148998856
560,0.009406029821814422,5.939701781855809e-05,0.059397017818557885,0.04910060131175247,8.9939868824754e-05,0.01798797376495065,0.059168158782129485,8.318412178705132e-05,0.01386402029784184,6.876401903008396e-06,6.876401903008396e-06,0.13752803806016792,0.4702004199477217,0.1422003494126996,0.1073335201281802
570,0.009395628271030349,6.043717289696544e-05,0.06043717289696515,0.04908454736075544,9.154526392445753e-05,0.018309052784891255,0.05915191930471935,8.480806952806502e-05,0.014134678254677402,6.999194794133547e-06,6.999194794133547e-06,0.13998389588267093,0.4715115097358747,0.14154997788314522,0.11597863973619747
580,0.009385233852205093,6.147661477949099e-05,0.061476614779490735,0.049068490013366765,9.315099866332463e-05,0.018630199732664776,0.05913554986625515,8.644501337448533e-05,0.014407502229080826,7.1219876852586964e-06,7.1219876852586964e-06,0.14243975370517392,0.5249445484846088,0.1456346077717082,0.11059508086563559
