Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.8288782088133162,0.6120261632904717,0.41340686707495555
10,0.009993807606210332,6.192393789668392e-07,0.000619239378966796,0.049977233924293187,2.2766075706819095e-06,0.0004553215141362976,0.059980984869972734,1.9015130027268742e-06,0.0003169188337877049,3.736488944795415e-08,3.736488944795415e-08,0.0007472977889590829,0.8290669309600136,0.6092793104837666,0.42600175402116097
20,0.009987618806578497,1.2381193421502852e-06,0.0012381193421503456,0.04995435807933147,4.564192066854243e-06,0.0009128384133706424,0.059962562099777565,3.7437900222434907e-06,0.0006239650037072053,7.472977889590828e-08,7.472977889590828e-08,0.0014945955779181656,0.8288803908509303,0.6120527122530147,0.41343582459653755
30,0.009981433591337319,1.856640866267991e-06,0.0018566408662681333,0.049931696208193294,6.830379180671439e-06,0.0013660758361341285,0.05994313911172471,5.68608882752855e-06,0.000947681471254791,1.1209466834386242e-07,1.1209466834386242e-07,0.002241893366877248,0.8288804723701596,0.6090204635258311,0.4258490621248814
40,0.009975251967030259,2.474803296974104e-06,0.0024748032969741374,0.049908909614413605,9.109038558640317e-06,0.0018218077117279075,0.059924383641392576,7.5616358607422785e-06,0.0012602726434570721,1.4945955779181656e-07,1.4945955779181656e-07,0.0029891911558363312,0.828878656820524,0.6120279605996051,0.41340862737802275
50,0.009969073922961903,3.0926077038095894e-06,0.003092607703809702,0.0498859652085662,1.1403479143380919e-05,0.0022806958286759604,0.05990645460896819,9.354539103180605e-06,0.0015590898505301043,1.8682444723977077e-07,1.8682444723977077e-07,0.003736488944795415,0.8288794027016608,0.6089891475437832,0.42587228228809787
60,0.009962899444090617,3.7100555909381698e-06,0.003710055590938288,0.04986311963324411,1.3688036675590331e-05,0.002737607335117853,0.059888084852869165,1.1191514713083507e-05,0.0018652524521804992,2.2418933668772484e-07,2.2418933668772484e-07,0.004483786733754496,0.828879266450971,0.6120293726241913,0.4134099479339194
70,0.00995672851670349,4.327148329650855e-06,0.004327148329650976,0.04984047667968294,1.5952332031706856e-05,0.0031904664063413524,0.05986876029586367,1.3123970413633449e-05,0.002187328402272204,2.61554226135679e-07,2.61554226135679e-07,0.0052310845227135794,0.828879627225579,0.6089893691824304,0.42587241950701465
80,0.009950561146067176,4.943885393282274e-06,0.004943885393282388,0.04981787096275708,1.8212903724292484e-05,0.003642580744858348,0.05984929752678582,1.5070247321418333e-05,0.002511707886903025,2.989191155836331e-07,2.989191155836331e-07,0.0059783823116726625,0.8288820541004732,0.6120323055840514,0.413411983824488
90,0.009944397339948273,5.5602660051726585e-06,0.005560266005172676,0.04979524455918024,2.0475544081976815e-05,0.004095108816395299,0.059829985098401164,1.7001490159883675e-05,0.0028335816933139357,3.362840050315873e-07,3.362840050315873e-07,0.0067256801006317455,0.8288832364030458,0.6089946750004334,0.4258751794196926
