Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.00998854824976465,1.145175023534878e-06,0.0011451750235348778,0.04997224369767125,2.775630232875736e-06,0.0005551260465751472,0.05997435903842746,2.5640961572538194e-06,0.00042734935954230326,1.2099725792369347e-07,1.2099725792369347e-07,0.002419945158473869
20,0.009977107601561369,2.2892398438629807e-06,0.00228923984386298,0.04994450211187579,5.549788812421489e-06,0.0011099577624842977,0.059948419511494135,5.158048850586012e-06,0.0008596748084310019,2.4199451584738693e-07,2.4199451584738693e-07,0.004839890316947738
30,0.009965678237947672,3.4321762052327442e-06,0.0034321762052327435,0.049916731892753995,8.326810724601291e-06,0.001665362144920258,0.05992277068341772,7.722931658227513e-06,0.0012871552763712522,3.629917737710804e-07,3.629917737710804e-07,0.007259835475421608
40,0.009954260343860927,4.573965613907291e-06,0.004573965613907291,0.049888928692510576,1.1107130748943396e-05,0.0022214261497886787,0.05989761330100012,1.0238669899987146e-05,0.0017064449833311909,4.83989031694774e-07,4.83989031694774e-07,0.009679780633895478
50,0.009942853923570276,5.714607642972363e-06,0.005714607642972362,0.0498610974861538,1.3890251384620532e-05,0.0027780502769241063,0.0598729120307632,1.2708796923679681e-05,0.0021181328206132805,6.049862896184674e-07,6.049862896184674e-07,0.012099725792369348
60,0.009931458655033854,6.85413449661457e-06,0.006854134496614569,0.04983325853942893,1.6674146057107208e-05,0.003334829211421441,0.05984821507809543,1.5178492190456983e-05,0.002529748698409497,7.259835475421609e-07,7.259835475421609e-07,0.014519670950843217
70,0.009920074532784113,7.992546721588653e-06,0.007992546721588651,0.04980541438578468,1.9458561421532604e-05,0.0038917122843065205,0.059823493280378004,1.765067196219906e-05,0.00294177866036651,8.469808054658543e-07,8.469808054658543e-07,0.016939616109317084
80,0.00990870156627884,9.12984337211594e-06,0.009129843372115939,0.04977756676182998,2.2243323817002215e-05,0.004448664763400442,0.059798737149153,2.012628508469966e-05,0.0033543808474499432,9.679780633895477e-07,9.679780633895477e-07,0.019359561267790953
90,0.009897339764975822,1.0266023502417768e-05,0.010266023502417766,0.04974971740417379,2.5028259582621547e-05,0.005005651916524309,0.059773937195962475,2.260628040375251e-05,0.0037677134006254185,1.088975321313241e-06,1.088975321313241e-06,0.02177950642626482
100,0.009885989138332845,1.1401086166715462e-05,0.01140108616671546,0.04972186804942504,2.7813195057496095e-05,0.0055626390114992185,0.059749083932348485,2.5091606765151362e-05,0.0041819344608585605,1.2099725792369346e-06,1.2099725792369346e-06,0.024199451584738692
110,0.009874649695807697,1.2535030419230355e-05,0.012535030419230353,0.04969402043419269,3.059795658073135e-05,0.00611959131614627,0.059724167869853094,2.758321301468995e-05,0.004597202169114992,1.3309698371606282e-06,1.3309698371606282e-06,0.02661939674321256
