10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient,Time (s)
0.6972680828872446,0.5677189556859226,0.3844652590769718,0.0
0.6974219117313696,0.5679223855353611,0.3846031073089504,16.539313709900267
0.6972971951036834,0.567655393198365,0.3844223079454765,0.1488113394094888
0.6972978948086004,0.5676560820794322,0.3844227680467534,0.2232170091142332
0.6972985852493423,0.5676569968990867,0.38442339075809123,0.2976226788189776
0.6973124092976628,0.5676752911118996,0.38443581024345125,1.7857360729138654
0.6973193542976532,0.567684435374224,0.3844419369640472,2.5297927699613094
0.6973262681597807,0.5676935814099427,0.38444814088151197,3.2738494670087532
0.6974646505387063,0.5678764709145513,0.38457201914130185,18.15498340795763
0.6975334896818798,0.5679676312735511,0.3846340041969604,25.59555037843207
0.697602532567256,0.568058969264441,0.38469612177169354,33.03611734890651
0.6989884665051377,0.5698826535408054,0.3859310143145101,181.84745675839528
0.69965670017761,0.5707660691240668,0.3865285771954635,256.25312646313967
0.7003455693581058,0.5716675439468092,0.3871400799132471,330.658796167884
0.7164670658466689,0.584613014651761,0.3959057752630465,1818.7721902627716
0.7210516899283522,0.5899257985749334,0.3995038852733097,2562.8288873102156
0.7289420733667066,0.5958585432844753,0.4035220367472125,3306.8855843576594
0.7507055801975305,0.6121362756546403,0.4145446444458304,5611.380872999189
0.7539580145033551,0.6169233257859424,0.4177876703406976,6763.628517319954
0.7649739397216523,0.6253203027868384,0.4234733004605561,7915.876161640718
0.7838677846690011,0.6400711732753265,0.433462584510101,10472.130636112945
0.7855084985736109,0.6428040135563152,0.4353139162541502,11750.257873349059
0.7957461336151196,0.6508374245184383,0.4407541926696901,13028.385110585172
0.8111025467948068,0.6629576831817795,0.4489623377507653,15682.823733731046
0.8117661868371371,0.6643932017774692,0.4499335683178028,17010.04304530398
0.8205528919638709,0.6713894404039102,0.45467186633309603,18337.26235687692
0.8329620201790842,0.6812532133887428,0.46135215894438725,21041.527440613718
0.8330842262379633,0.6819218194286325,0.4618048893431665,22393.659982482117
0.8405117952422211,0.687889984193269,0.46584570969781514,23745.792524350516
0.8508209484570988,0.6961280411394717,0.4714255723125519,26522.952312173264
0.8505481953650299,0.6962739460283018,0.4715245775404752,27911.532206084637
0.8570017302407272,0.701492021707648,0.47505806284142,29300.11209999601
0.8658736682859945,0.7086141079671205,0.4798815206824297,32200.76020313481
0.865223176481382,0.7083274310602294,0.47968614521474745,33651.08425470421
0.8710733846572385,0.7130774836403487,0.4829045635386389,35101.40830627361
0.8789634545999803,0.7194383231139792,0.4872113717531365,38185.535871453445
0.877898823255136,0.7187328648855029,0.48673428287523846,39727.59965404336
0.8834470428213034,0.7232517694627735,0.4897947971603467,41269.66343663328
0.8907471360673483,0.729158195251831,0.4937949389339749,44631.73040216019
0.8891289231073306,0.7279473361554724,0.4929733362594876,46312.76388492364
0.8947338049695408,0.7325231249483372,0.4960730130627728,47993.79736768709
0.8962432425957066,0.7337831776102683,0.49692624928407836,48996.898683843545
0.8967234354505862,0.7341945383048197,0.49720506786446855,49498.449341921776
0.8975097753921326,0.7348362599716844,0.49763953514910586,50000.0
