Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2_{V_2},Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.009997453743134786,4.3286366708625235e-07,0.0002546256865213249,0.049990633271841334,1.5923437869735972e-06,0.00018733456317336435,0.059991294589167965,1.4799198414455189e-06,0.0001450901805338744,2.8439619200919114e-07,2.8439619200919114e-07,0.0033458375530493072
20,0.009994905744747887,8.660233928590119e-07,0.0005094255252111834,0.049981259233183355,3.185930358829725e-06,0.00037481533633290876,0.05998255619091935,2.9654475437093043e-06,0.00029073015134404944,5.687923840183823e-07,5.687923840183823e-07,0.0066916751060986145
30,0.009992355816726257,1.2995111565362528e-06,0.0007644183273742661,0.049971872688366094,4.781642977764023e-06,0.0005625462326781203,0.059973815890289,4.451298650868425e-06,0.00043640182851651223,8.531885760275734e-07,8.531885760275734e-07,0.01003751265914792
40,0.009989803959449468,1.7333268935904373e-06,0.0010196040550531982,0.049962473178815144,6.379559601425961e-06,0.0007505364236971717,0.05996508013367957,5.936377274471589e-06,0.0005819977720070184,1.1375847680367643e-06,1.1375847680367643e-06,0.013383350212197227
50,0.009987250173297093,2.167470539494028e-06,0.0012749826702906047,0.04995306024595609,7.979758187465013e-06,0.0009387950808782366,0.05995635536749372,7.4195875260675085e-06,0.0007274105417713244,1.4219809600459554e-06,1.4219809600459554e-06,0.016729187765246532
60,0.009984694417964752,2.6019489459922093e-06,0.0015305582035248287,0.04994363316094731,9.582362638957694e-06,0.0011273367810538462,0.05994764209460658,8.900843916880575e-06,0.0008726317565569191,1.7063771520551467e-06,1.7063771520551467e-06,0.02007502531829584
70,0.009982136507510406,3.0367937232309453e-06,0.0017863492489593794,0.04993419042400354,1.118762791939876e-05,0.0013161915199292656,0.05993891681056382,1.0384142204149571e-05,0.0010180531572695657,1.9907733440643376e-06,1.9907733440643376e-06,0.023420862871345146
80,0.009979576420198012,3.472008566337746e-06,0.002042357980198674,0.049924731893440995,1.2795578115031645e-05,0.0015053621311801933,0.059930176285908764,1.1870031395509962e-05,0.001163728568187251,2.2751695360735287e-06,2.2751695360735287e-06,0.026766700424394455
90,0.00997701415752843,3.907593220166695e-06,0.002298584247156879,0.04991525759670658,1.4406208559882418e-05,0.0016948480658685195,0.059921420480684724,1.3358518283596656e-05,0.0013096586552545741,2.5595657280827198e-06,2.5595657280827198e-06,0.03011253797744376
100,0.009974449721002518,4.343547429571876e-06,0.002555027899748162,0.04990576756124719,1.6019514587977146e-05,0.0018846487750561346,0.05991264935493503,1.4849609661044552e-05,0.0014558440844161325,2.843961920091911e-06,2.843961920091911e-06,0.033458375530493065
110,0.009971883112121133,4.779870939407372e-06,0.002811688787886689,0.049896261814509756,1.763549153334189e-05,0.0020747637098049282,0.05990386286870301,1.634331232048856e-05,0.0016022855216165255,3.1283581121011024e-06,3.1283581121011024e-06,0.03680421308354238
120,0.009969314332385133,5.216563494527268e-06,0.003068566761486628,0.04988674038394116,1.9254134730002724e-05,0.0022651923211767905,0.05989506098203198,1.783963305456358e-05,0.001748983632800351,3.4127543041102934e-06,3.4127543041102934e-06,0.04015005063659168
130,0.009966743383295378,5.6536248397856455e-06,0.003325661670462144,0.04987720329698832,2.0875439511985718e-05,0.0024559340602336136,0.05988624365496526,1.933857865590452e-05,0.0018959390839122078,3.6971504961194845e-06,3.6971504961194845e-06,0.043495888189640994
140,0.009964170266352726,6.091054720036589e-06,0.003582973364727405,0.049867650581098134,2.2499401213316933e-05,0.002646988378037286,0.05987741084754619,2.0840155917146287e-05,0.002043152540896695,3.981546688128676e-06,3.981546688128676e-06,0.046841725742690306
150,0.009961594983058033,6.528852880134184e-06,0.0038405016941965783,0.04985808226371752,2.4126015168022436e-05,0.002838354725649698,0.05986856251981809,2.2344371630923776e-05,0.0021906246696984095,4.265942880137867e-06,4.265942880137867e-06,0.05018756329573961
160,0.009959017534912162,6.967019064932512e-06,0.00409824650878383,0.04984849837229337,2.5755276710128294e-05,0.00303003255413274,0.059859698631824276,2.3851232589871902e-05,0.002338356136261951,4.550339072147057e-06,4.550339072147057e-06,0.05353340084878891
170,0.009956437923415967,7.405553019285656e-06,0.004356207658403327,0.04983889893427259,2.738718117366058e-05,0.003222021314548303,0.05985081914360808,2.5360745586625565e-05,0.002486347606531918,4.834735264156249e-06,4.834735264156249e-06,0.05687923840183822
180,0.009953856150070307,7.844454488047702e-06,0.004614384992969236,0.04982928397710209,2.9021723892645356e-05,0.003414320457958277,0.05984192401521282,2.6872917413819672e-05,0.0026345997464529087,5.119131456165441e-06,5.119131456165441e-06,0.06022507595488754
190,0.009951272216376043,8.28372321607273e-06,0.004872778362395723,0.04981965352822877,3.0658900201108694e-05,0.0036069294354245515,0.05983301320668182,2.8387754864089118e-05,0.002783113221969521,5.4035276481746315e-06,5.4035276481746315e-06,0.06357091350793684
200,0.00994868612383403,8.72335894821483e-06,0.005131387616596958,0.04981000761509955,3.229870543307666e-05,0.0037998476980090185,0.059824086678058414,2.9905264730068822e-05,0.0029318886990263547,5.687923840183823e-06,5.687923840183823e-06,0.06691675106098616
210,0.009946097873945129,9.16336142932808e-06,0.005390212605487105,0.049800346265161326,3.3941134922575315e-05,0.003993074696773566,0.05981514438938591,3.142545380439368e-05,0.0030809268435680074,5.972320032193014e-06,5.972320032193014e-06,0.07026258861403545
220,0.009943507468210197,9.603730404266564e-06,0.005649253178980331,0.049790669505860995,3.558618400363073e-05,0.004186609882780085,0.05980618630070765,3.29483288796986e-05,0.003230228321539078,6.2567162242022056e-06,6.2567162242022056e-06,0.07360842616708477
230,0.009940914908130092,1.0044465617884368e-05,0.005908509186990804,0.04978097736464548,3.7233848010268974e-05,0.004380452707090467,0.05979721237206695,3.4473896748618484e-05,0.0033797937988841653,6.541112416211396e-06,6.541112416211396e-06,0.07695426372013406
240,0.009938320195205673,1.0485566815035573e-05,0.00616798047943269,0.04977126986896167,3.888412227651611e-05,0.004574602620766601,0.059788222563507125,3.600216420378823e-05,0.0035296239415478657,6.825508608220588e-06,6.825508608220588e-06,0.08030010127318338
